,text,affect,Unnamed: 2,Unnamed: 3
1045,Its funny how people who follow you eventually unfollow you only because you never followed them back. ,sadness,,
1046,Hate hate hate hate hate hate hate ,anger,,
1048,"After what  news has brought out in the news, there is NO way our family will ever fly. Sad but true &amp; it sucks actually. ",fear,,
1051,I hate taxes. Would've made a solid $80 today but instead made $67.  ,anger,,
1052,"Alas, no good trending topics to mock today. ",sadness,,
1053,The worst part of my day is when i find my ice cream bowl is empty. ,sadness,,
1054,Just saw an empty Summer Shandy box next to my Aunt's fridge. But no Liene to be found ,sadness,,
1055,Devrais-je me coucher ou continuer à veiller jusqu'a ce que j'entende un bruit et penser à mes parents qui viennent ? ,fear,,
1056,Why is it that you always manage to creep into my head and make me depressed ,sadness,,
1057,op school bezig met fm aan! zeker vet haha,fear,,
1058,its gunna suck waking up nd not see ur face ,sadness,,
1060,Pretty sure Kiss only ever play about 3 different songs. And they're TGIF remix pisses me off. And they say 'Gwetta' and 'Agwilera'. ,anger,,
1061,You gain   and confidence by every experience in which you really stop to look in the face.~ E Roosevelt,fear,,
1062,"I have a that one day I'm going to sit to pee and something's going to bite my ass, or worse my twat. #anaconda #fuckthatshit",fear,,
1063,Waiting to start the last show. ,sadness,,
1066,i hate making a new tumblr and forgetting all the good blogs i followed before. ,sadness,,
1068,Didn't get a good morning text.... ,sadness,,
1070,"A lone jelly bean tumbles, unable to escape the metal edge at the top of the escalator. #solitude #eternity",sadness,,
1072,"Tigers up 10, 34-24 with 4:50 left in the first half. South Alabama coach Ronnie Arrow calls another timeout. Told you we smell ",fear,,
1073,Much hatred for his auto tuned repetitive 'music' ,anger,,
1075,"Do you ever feel the need to sing, but are not able to find the right song to sing :(",sadness,,
1076, Talks Going Well? Most Pissed Off with  Play Acting &amp; Playing Dangerous Games #FLASHMEN? #skynews #skypapers,fear,,
1078,After you fk a ugly chick that looks like a little boy I wouldn't mess w you anyways ,disgust,,
1080,"The male gender is way too emotional these days. Stop whining, crying and confessing your love on social networks #sackup",disgust,,
1082,"remember: if you serve pork today and you see one of your friends/family avoid it, they're probably muslim terrorists. report them! ",fear,,
1083,"But when he saw the wind boisterous, he was afraid ; and beginning to sink , he cried , saying, &quot;Lord, save me.&quot; Matthew 14:30 ",fear,,
1084,"Youtube, TAKE DOWN FRIDAY BY REBEKA BLACK! People keep PLAYING it on Friday's and I'm going to stab someone with a pen! #triggerword",anger,,
1085,"OFFA release details of new Access Agreements - Lots of new fee waivers (£37m)... great for Treasury, not so great for students ",anger,,
1086,I hate people who try so hard to make people think they are genuine people but really are the bitchiest ones who talk the most shitt. ,anger,,
1087,"My two guitars, after a lot of years together,had decided to fell the night I was seeing Paranormal Activity #scaredtodeath",fear,,
1088,False Evidence Appearing Real ,fear,,
1090,A cousin keeps telling me education past high school is a sham. Too bad he cant spell or make an argument correctly.  ,sadness,,
1091,My better half's sooooo far away.. I only have his shirt to hug  ,sadness,,
1097,Need to go to da gun range to relieve sum ,anger,,
1098,Is it mean to think its funny when uptight people go into a normal person rage? Lol is funny to me anyways.,anger,,
1099,"Don't believe the lies, look me in my eyes, please don't be scared of me ",fear,,
1101,I hate when you plan an outfit in your head and then you cannot find the article of clothing you really need #firstworldproblems,anger,,
1102,December events are filling up our calendar fast and 2012 is off to an amazing start! Now...if I could just update the dang site! ,sadness,,
1103,"UGH. Gonna have to re- record it tomaro  actually talk, because the stupid voice over isnt working right. :| ",sadness,,
1104,EVERYDAY IS A GAME CALL IT FACTOR,fear,,
1105,Every word that comes out of my mouth I pray it doesn't push you away. ,fear,,
1107,"Everytime I see your face I want to vomit. You have no idea how much you me. Shady boyyy, move schoooolssssss. Thanks :)",disgust,,
1108,I can not understand  or  I don't understand  or but I do understand one thing #lonelyness.,anger,,
1109,These mother fucking shit ass computers are pissing me offfff!! ,anger,,
1110,"You're supposed to be my best friend? Haha, yeah right. More like backstabbing low life, that tries to ruin everything for me. ",sadness,,
1113,&quot; I wish love was like volleyball. You'd call 'MINE' and everyone would back off &quot; :(,sadness,,
1114,Man i wish i was in bham at the Future concert!!! Man Fuck ,anger,,
1115,Matt Moore knew what was gonna happen to him if he tried to get that ball from D-Ware ,fear,,
1117,Currently dealing with second worst haircut of my adult life. The first was the haircut I walked into this place to fix. ,sadness,,
1118,It's really frustrating when your professors don't email back or show up for their office hours. ,anger,,
1119,These Dayton sewers reek of Pizza Hut ,disgust,,
1121,vent vent vent vent vent ,anger,,
1122,Children that don't talk are scary when sick. What's this rash now? And was that what the nightlong crying was about?  #help,fear,,
1125,Gotta love that moment when your parents say your full name and you start thinking of all the bad things you've done recently ,fear,,
1126,I cant stand a fake ass bitch/nigga...ugh...,disgust,,
1127,Proud of Rowan Williams. Anglican Church has morality &amp; freedom to show social compassion without or constraint; but #faith &amp; #hope,fear,,
1128,"If didn't exist, I would run up to you &amp; tell you how much I LOVE YOU !",fear,,
1129,Some fucking gross guy at my house is cutting our turkey and I'm watching him touch every single piece and he didn't wash his hands ,disgust,,
1130,Eeee!!! I leave Friday morning for LA!!!! OMG!!!     ,fear,,
1131,"ain vi a foto de um acidente de carro aqui no face, to apavorada ! ;s ",fear,,
1133,Can't find an online rental for Jurassic Park anywhere and our VHS is f-ed up. Today a tradition may get ruined. ,sadness,,
1135,The of loving or atleast allowing yourself to fall for a person who you know prolly won't fall for you yet it feels so ryt!!!☹☺,fear,,
1137,Got a lot on my mind ! But my negative tweets won't be shared,sadness,,
1140,Yesterday i have the best dream! Khloe replay to and i were so happy! It was SO real! ,sadness,,
1141,"I have serious issues. For instance, my paying for a service that you don't provide = hell raining down on you.",anger,,
1145,A night out watching airplanes! If only i cud enjoy getting on it as much as i enjoy watching it fly across the sky ,fear,,
1146,CLASSICO TODAY   ... to bad i gotta work on my portfolio &lt;/3 ,sadness,,
1147,I hate &quot;rescue animals&quot; commercials. They make me feel sad and sorrowful for all animals out there  ,sadness,,
1148,It's whenever I start to care that I get ignored... Really wish I didn't have such a big heart. ,sadness,,
1149,Fox just switched from the  game. Tied 32-32 with under two minutes left. ,anger,,
1151,Fuck.! Only a girl's anger on your silly questions can make you sweat in temperature near 12°C..! or #thrill #youprefer,fear,,
1152,If i don't get the castle i'm  a starting a vigilante group ,anger,,
1153,"Don't get the impression that you arouse my anger. You see, one can only be angry with those he respects. ~Richard M. Nixon ",anger,,
1154,"When your back from a busy day, didnt get to watch the match and than realize &quot;I hope I recorded  :| ",fear,,
1157,"Finally Finished studying , that was exhausted BTW I h8 my teachers &lt;\3 they gave me so much 2 do !!!!!",anger,,
1158,Currently eating the worse oatmeal ever... #fb,sadness,,
1160,I feel like a failure at twitter not sure if I even did that right...,sadness,,
1162,I had one follower. Then I lost him.  &#xA;On the plus side 2 more weeks till #CLOCKWORKPRINCE &lt;-#joy,sadness,,
1164,I will be the most disappointed if they actually consider Taylor Swift for the role of Eponine in the movie version of Les Mis.... ,anger,,
1165,I have all these teeny tiny little cuts and knicks on my hands. ,sadness,,
1168,Today I feel like a battle of jhonny walker. I don't know why but I just wanna be drunk. Might is it just ,sadness,,
1169,I think i might bring back my temper ,anger,,
1170,is such a weak emotion that's why I despise it.,fear,,
1171,My best friend is leaving to the Philippines for a month :'( I have to say bye tonight! ,sadness,,
1174,when the love of your life is half way acrosss the world,sadness,,
1175,"the awkward moment when someone who shouldn't wear a thong does O,o ",fear,,
1176,Visto hoy : C.F. dándolo todo muyyy drum'n'bass ella jajajaja O.o ,fear,,
1177,"Every man has its own ways to earn succes,so do I . So don't talk like you know my own, STFU !! ",anger,,
1178,Miss my boy-toy :( can't function without him :( ,sadness,,
1179,Le fanatisme est flippant même lorsqu'il s'agit de Twilight. Des nanas de 50 piges qui se font tatouer des scènes du film ^^ ,fear,,
1181,"For all those years you've protected the seed, it's time to become the beautiful flower.~S.C. Paul   ",fear,,
1189,Due giorni fa c'era paul mccartney qui a milano e io non sono potuta andarlo a vedere ,sadness,,
1190,The wind just sounded like a woman SCREAMING. #helterskelter,fear,,
1191,TAKE MY OUT ON WHOEVER IS AROUND OR N MY FACE SO TF WHAT YU AIN'T GONE BEAT MY ASS...,anger,,
1192,They  should make a second  movie where  wears the ring of ,fear,,
1194,We know that a good thing has become a counterfeit god when it's demands on you exceed proper boundaries. #health #mental,anger,,
1195,"Been watching Gshore series1 all day... Never wanted to put loadsa tan on, hit the club and pull some lads so much in my life ",fear,,
1196,All packed for home and I still have 5 days left here at Bluffton :( ,sadness,,
1198,"Yall dont understand how much mr. Encalades room STINKS! Like im not even kidding. #takeashower ! (The kids, not him)",disgust,,
1199,Forgiveness doesn't heal the wounds; it frees the soul from anger &amp; hatred.    ,anger,,
1200,Thunder and lightning used to scare the shit out of me when I was young. I remembered watching Blue's Clues and the power went out. ,fear,,
1201,"Pastry shop isnt open today, u.u",sadness,,
1202,I just broke two of my lights that I was going to put around my walls...  ,sadness,,
1203,My gosh zainab is tooo stupid. Ugh #eastenders.,disgust,,
1205,Holiday is good if you've got plans. I don't #fb,sadness,,
1207,"I feel dreadful, though not as dreadful as my married colleague who spent the evening rubbing the crotches of men in the office.  ",fear,,
1208,"They Say Not payin Somethin No Mind Is a Better Choice, Shit I Begg 2 Differ ignorin it makes it Worse Then Make U Wanna Fight ",anger,,
1209,Don’t ever touch an angry person without their permission.       ,anger,,
1211,"A Gentle answer turns away wrath, but a harsh word stirs up anger.  ",anger,,
1212,I swear if my kid wasn't there.   I woulda died long ago... ,sadness,,
1213,Bored out of my fucking mind &gt;.&lt; ,sadness,,
1214,wonder if i'll get on espn. Strange how im like the only Big Star player not on ESPN. ,sadness,,
1215,"not afraid of tomorrow, for I have seen yesterday and I love today #less”",fear,,
1216,"too bad when the feelings wash up, I feel nothing but ",disgust,,
1217,Seriously today is the worst day ever WTF I look like a bull frog . I can deal with a heart break but I can't deal with the ugly! ,sadness,,
1218,"Ppl are going crazy now-a-days, killing babies, kidnapping, human trafficking. ",sadness,,
1219,"Sadly, the best part of the game tonight was seeing Lebron James in person. But still: #wtd and #goducks",sadness,,
1221,Ahhhh!!! I'm worried about the dentist why did I put it off so long!! ,fear,,
1222,"when ppl dont get there way or what they want, a strong sense to lash out takes affect. ",anger,,
1223,"So when practice was over, I ran to the car all excited to show my dad my superb grade in geometry and he says do better ",sadness,,
1225,"not afraid of tomorrow, for I have seen yesterday and I love today #less",fear,,
1227,One of the worst feelings in the world: finally admitting you've lost that summery glow. Hello pale winter. ,sadness,,
1229,J'ai envie de dire que c'est la magie DEL INt3N3T ! On peut tomber sur des trucs WTF ,fear,,
1230,"Serasa semua menuntuk tuk terjadi, segera. While my ego doubt to its other one. Memang ada satu jenis, pelan dan mematikan. ",fear,,
1231,Pahahaha I'm tireD.......wish mah bed wuz smaller....so I dnt have to wish someone else wuz in it....,sadness,,
1232,I really really really wanna listen to  but I don't have them on my phone yet :c ,sadness,,
1233,tht tht comes over u when u walk into a store nd there playing u nd ur ex's song :((,sadness,,
1234,"Right after you finish your essay on aphasia, there is a lect on aphasia #irony",sadness,,
1235,“To live your  in the of losing it is to lose the point of life.” — Malcolm #Forbes,fear,,
1236,"I  myself, by trying to clear the motivation of from my intentions &amp; trust that #God is guiding me for his undefined #purpose",fear,,
1239,finally home ! tired AF. thee sinks in. I can't sleep with my baby tonight.,sadness,,
1241,Still don't have an advent calendar to open :( ,sadness,,
1242,I feel like I'm missing out on the things I should be doing at this age. I really hope not though. ,fear,,
1247,Freud anatomy you have a cruel mind sometimes.  ,sadness,,
1249,Did not realize how excited I was to have my Netflix stream from my computer to my TV until the cords to make this happen failed. ,sadness,,
1250,"I neva was da type to bite ma tongue &amp;explain maself 2 anybdy,none but god.",fear,,
1253,I wouldn't be surprised if Kris is privately mourning the loss of her Hacienda Luisita. She is no longer an haciendera. ,sadness,,
1254,"one little exam at 7, roomies are gone, not leaving til tomorrow morning. ",sadness,,
1255,I always have a nose spot on my cup of coffee's cover. :),disgust,,
1257,Ce moment effrayant quand tu regardes un film d'horreur seul la nuit et que t'as l'impression d'avoir entendu un bruit . ,fear,,
1260,I hate when people think they can rap knowing they can't tweet,anger,,
1261,"I remember you, this feeling isn't new.& please don't be scared of me. ",fear,,
1262,You gotta leave something to the imagination.. Girls need more class nowadays. ,disgust,,
1264,And so it begins...the countdown to a  and the possibility of an almost-new life  ,fear,,
1266,When you say something and you pray the person don't hear,fear,,
1269,'The spirit of is from the evil one.Satan IS THAT spirit,fear,,
1271,"I wish my name rhymed with something, so I could have a tight twitter handle ",sadness,,
1272,Even crackers and Mac n chees isn't making this better :/ ,sadness,,
1273, I felt bad for HUMPTY DUMPTY when i was little. They never put him back together! ,sadness,,
1274,I hate when girls in soccer rub up all against you dude we are not playing basketball theirs a huge field #backoff,disgust,,
1275,"Listening to some older punk, including one of my favs, FEAR. amazed at how  the lyrics, which are 30 yrs old are still relevant today ",fear,,
1276,getting too comfortable being single &amp; end up lonely for the rest of my,fear,,
1277,The high schoolers are warming up IN THE HALLWAY  ,anger,,
1278,"Bordel de merde, c'est moi ou la trend Française est à gerber en ce moment ? ",fear,,
1280,holding back tha tears and tha heartbreak... Because I kno ur not worth it... ,sadness,,
1281,I was hardly a km away when d incident happened.Cant get over it!Calcutta didnt learn anything even after d Stephen Court episode. ,disgust,,
1284,Psyc midterm today. Feeling like I'm gonna bomb. #tearyeyed,sadness,,
1285,Last unit of pickleball in high school ,sadness,,
1287,I cnt stand spending thanksgiving wit family I dnt even like...,sadness,,
1289,treadmill stress test ,disgust,,
1290,Really afraid to be bipolar and have more problems of self harm than cutting … :'( ,fear,,
1291,"Wotless, broke people filling up the websiteee! ",anger,,
1292,I would much rather soup lunch be tomorrow than on Wednesday  ,sadness,,
1293,Haven't left my room today/  ,sadness,,
1295,Just walked past a Asian girl and she grabs her BF's arm. Now I know all races even my own are afraid of me. #boss #scandalous,fear,,
1296,is the weapon of choice used by bullies &amp; cowards who feel powerless-2 control &amp; manipulate others 4 their own means,fear,,
1298,i hate social with the passion ,sadness,,
1300,finished season 4 of dexter ,sadness,,
1301,I got iOffered a $40k scholarship to study math in undergrad...and i turned it down...,sadness,,
1302,Its not  anymore. Take care of your wiley body hair. You shouldn't have been doing that shit in the first place. ,disgust,,
1303,"Twitter, is it wrong to feel  for special friends that I can never revive.   #tears etc...",sadness,,
1304,only thing holding me back.,fear,,
1305,"although it destroys everything in front or urself, sometimes it is needed to put a limit.",anger,,
1306,Gut wrenching pain. Please don't let it be true ,fear,,
1307, for giving me high final project scores. Now to get A's on all my finals right....  ,fear,,
1309,Its so windy! I feel sorry for ppl who don't have heat.. ,sadness,,
1311,Sooo im hearing bad things for Duck fans tonight..do i need to start yelling at the tv? ,sadness,,
1314,Empathy and understanding are 2 of the most powerful diffusion tools. #hr #conflict #leadership #management #teams,anger,,
1315,"My workstation is DOA. LinkedIn asked, &quot;Miss your old boss?&quot; and I smashed my computer screen. I really should work on that. #fail",anger,,
1316,Experiencing all stages of grief this finals week  #bargaining #depression #acceptance #ImGoingToFail,anger,,
1317,"Going to have a hot chocolate at 10 when I watch american horror story, will help me sleep after. ",fear,,
1319,Je ne sais pas comment j'ai RT un truc que je ne connais pas. Peur du piratage ,fear,,
1320,Few hours to go and my bbmax subscription will expire will go back on dec 3..see y'all folks..peace out!,sadness,,
1323,A  Smart Statement : &quot;Never  Raise your  Voice  with Anger... Just Improve  the Quality  of  your Argument  with Smile.&quot;..:)  ,anger,,
1326, sounds amazing as always.. I should really find a way to watch the product,fear,,
1327,At Ledos... found out some friends are coming down Sunday... I can't see them. I ain't seen them in 3 years... and it keeps going:(,sadness,,
1328,i hate you with a burning passion. #fml #gtfo,disgust,,
1330,"Damn, someone dying in the  My condolences to those that were close to him :(",sadness,,
1332,Always tired in winter.. Must be the darkness ,sadness,,
1333,"if you're getting your information from a website not run by the gov't or 1 of 6 approved corporations, you probably the wrong people.",fear,,
1334,"Hey everyone, server official close will probably be tomorrow. & I can't return home, then it will be later  ",sadness,,
1335,I will not tolerate divisions of any sort. ANY sort. &amp;Its safer not 2jump on bandwagons. besides what did the band do 2U personally?,anger,,
1337,"I can't sing right now because I have a sore throat.  I love this song, too. ",sadness,,
1338,I was brave enough ta b born in da world none,fear,,
1339,Haha Kens tweet made me lol and now back to my seriousness... smh!,sadness,,
1340,IVE BEEN MISSING THE EDD ED AND EDDY MOVIE THIS WHOLE TIME !! #LOSING #PISSED,anger,,
1341,"--&gt; when you bite your cheek chewin somethin. Then get back to business, and bite it again in the same spot.",anger,,
1342,Goodbye  you will be missed.  Enjoy your life of being subjected to playing DVDs.  ,sadness,,
1343,"I think im scared of what the future holds, I was wishing for some things, and now im used to those #drake",fear,,
1345,A woman worth some is certainly worth some #effort,anger,,
1346,There's a mysterious ticking noise somewhere by my bed.  not the  puppet pals kind. #scared,fear,,
1348,When Harris teeter doesn't have triple stack Oreos. ,anger,,
1349,Omg my phone is being sooo slow hat everyone decides to send me hella texts and i just set it down because i dont wanna THROW it! ,anger,,
1351,"i near, what will u do, go ahead shed those tears ,U. will feel better once u see it is alright for a good man too cry...",sadness,,
1353,People talk about me like if they even know my story ,sadness,,
1354,Grading...If I give a take home quiz over break I am obviously gonna collect it and grade it! ,sadness,,
1356,I don't like sharing my feelings Im scared you'll run if I admit something. ,fear,,
1357,Joe Rogan is back at it Factor,fear,,
1358,I remember the first time I seen that Blue Waffle pic... ,disgust,,
1359,Why the fuck am I watching Oireachtas Report? ,anger,,
1360,"got on twitter, saw it was snowing. got outside yea, it's pouring down rain. ",sadness,,
1361,First away game at Parrot Academy today!! wish our V. Boys and Girls luck if you see them in today :) #letsgocanes,fear,,
1362,"i need a vacation, junk food ,retail therapy, a biiiig hug , a bottle and a blunttt. ",sadness,,
1363,the heartstopping moment where you think you've pulled out your headphones in the silent library. ,fear,,
1367,Ew- why is my dad's yard worker being such a creep ! ,disgust,,
1368,i needa change all my TI backgrounds..sigh...lol,sadness,,
1369,What happened to originality? Everybody is following the same trend. Nobody wants to step out of the box. is a #bitch!,fear,,
1370,The Way Rage Passed Throu Me Today! Had 2 Cuss Off The Asian Men In The Hair Shop. ,anger,,
1372,Driving my family 2 any where is no fun ! !,fear,,
1373,5 minutes till pizza express pizza is cooked ,fear,,
1374,Have control over your anger OR it will control you. #Character #MyLife #SelfControl,anger,,
1375, the shit out of every racist person on earth. They  me.,disgust,,
1377,Today the woman who has looked after my daughter so I could write my book is leaving. She is more than a nanny. ,sadness,,
1378,"Am angry, frustrated, upset as fuck right now I needs hit something ",anger,,
1380,"This little girl's death in Canton, GA just broke up my Christmas bubble a little. There really are monsters in this world. ",sadness,,
1381,Feel like the biggest asshole in the world right now. Prolly gunns kill myself noe #inlove,sadness,,
1383,Les meilleurs Rick Roll restent à venir ! ,fear,,
1385,What the hell.  Why is mealhall playing Small Town...?!  I hate that song.  So much.  ,anger,,
1386,Day 2 of my brother's stay in emergency.  #whatstheanswer #pleasadmithim,fear,,
1387,"Sometimes I cry , no one knows how hard it is to have your best friend in another flipping country ",sadness,,
1390,Lieing about your mum being dead is as low as you can get. #lieingfucker,disgust,,
1391,Found my first gray hair today.  ,sadness,,
1393,Id Love To Punch You In The Face ,anger,,
1394,"Walking in the dark, stepping on something paper + instantly realizing I just stepped on my Gaga poster.  ",sadness,,
1395,"If I said I nothing, I'd be a lying. I'm deathly afraid of grown, straight men with uncomfortably high voices. #WhyDoYouSoundLikeThat",fear,,
1396,"Brother: your in your riding clothes like, everyday. Literally. Me: yes..? Brother: you ride those horses EVERYDAY?! ...DO YOU WORK?! ",anger,,
1397,end of life symptoms/not eating sleeping alot/is Ma's life ending?       ,fear,,
1398,"my humble prediction 1252-1260 all day...  hope I'm wrong either way, trade the range!",fear,,
1399,Spent half of my money at the mall today ,sadness,,
1402,"&quot;He passed Away and i Didnt Cry, Cuz My wouldn't let me feel for a STRANGER&quot; --2pac",anger,,
1403,Why won't my  make the cute tweet sound when I get tweets?! It is set to tweet mode! ,anger,,
1404,Eventually I will get tired of running ... ,fear,,
1405,We nah  ah  nah ah #nobody &#xA;We nah #talk from #nobody &#xA;No bowy nah badda Dan weeeee &#xA;#suckyuhmummapussyhole,fear,,
1406,Ugh the rain has ruined my toms nooooooo ,sadness,,
1407,At least I hope so. My visa is still under assessment ,sadness,,
1408,Fuck this bs wait. Now I'm pissed off. ,anger,,
1410,my heart just broke a little when i remembered all my coffee cups are in my office. no coffee this morning. ,sadness,,
1412,"I can't leave for lunch for another hour, and all I'm doing is searching for pix of Todd Haley yelling to sigh over. #withyelling",sadness,,
1417,He don't love me.like he.love his IPhone. ,sadness,,
1418," is short, live it.  is rare, grab it. is bad, dump it. #Fear is awful, face it. #Memories are sweet, cherish it.",anger,,
1420,"If we deny  that is given to us,if we refuse to give love because we #pain or loss,then our lives will be empty,our loss greater.",fear,,
1421,"Krallice's new album is awesome, why was I such a fool to pass this up earlier this year.  ",disgust,,
1422,saw  on the tv stand. they smelled like a combination of and #shame. if that b*tch thinks i'm wearing them...,fear,,
1423,I lost my  pin today..... ,sadness,,
1424,"Life is a game, the chips fall where they may but most times they don't fall where you want them ",fear,,
1425,YOU DIRTY LITTLE RASCAL. GO BACK TO YOUR SHIT HOLE HOME AND DONT EVER TOUCH MY GOALIE.   ,anger,,
1426,"My newer, slightly-preferred non-Starbucks coffee shop in WestCo closed. ",sadness,,
1427,I hate waking up in the morning and my babes not there next to me :( ,sadness,,
1428,Jaguars had like 4 monday night football games ,disgust,,
1430,today was national kiss day... and my boyfriend wasnt here... :( ,sadness,,
1431,"So I deleted the angry birds app on my phone because I didn't know how to.play :,( ",sadness,,
1432,I don't know why but i really just want to kick the shit of you. ,anger,,
1433,And here come the tears...  I wish my life was a chick flick. ,sadness,,
1435,That awkward moment when a fat guy cockblocks you away from a hot guy. #shuttleride,sadness,,
1438,Got my script for the play!! Kinda sad w/ my talking amount ,sadness,,
1439,"pissed the fuck off, aboutta just go to the gym to take my out",anger,,
1440,I almost feel sry for people who allow their futures be as empty as their minds. ,sadness,,
1443,Omg secretary Jun's jealous! He slammed the table! ,anger,,
1445,If cute guys think I'm attractive then why don't I think I'm attractive? ,sadness,,
1446,Life is just an  Can't believe I'm heading home. I will miss my friends. ,sadness,,
1447,last month I bought tickets to the zoo and now I can't afford the train fare to get there   :( ,sadness,,
1448,Alot of guy make their girls feel insecure &amp; less of themselves so they could feel more of themselves    ,anger,,
1449,Why do u continue to speak to Jepthe and u no longer speak to me ???? ,sadness,,
1450,"My throat's still in pain. Darn, it seriously destroyed my plans for the weekend. #life",sadness,,
1453,"&quot;not afraid of tomorrow, for I have seen yesterday and I love today #less&quot;",fear,,
1454,So I was at work and I was emptying the trash in the women's bathroom. Why did I find a tube of Vagisil on the floor??? ,disgust,,
1455,What the fuck is wrong with you people?!! ,disgust,,
1456,Adam: I was afraid -Gen. 3:10 ~ Abram: Do not be afraid -Gen. 15:1 ~ Sarah: she was afraid-Gen. 18:15 ~ Jacob:I was afraid -Gen. 31:31 ,fear,,
1457,Me siento mal porque mi chino amigo decidio cerrar sus puertas en este dia feriado y no puedo ir a comprar cosas a un lugar cerca ,sadness,,
1458,F YOU  Seriously almost got me in a major car accident!!! Your lucky I'm a good driver!!!! ,anger,,
1459,I would go shopping tonight but I don't have any money to shop with #brokecollegestudent,sadness,,
1461,"ugh I can't leave twitter. but but, need tooo -.- ",sadness,,
1462,Walking down the street and my knee just gave out on me. When I fell it looked like haha,sadness,,
1463,Aww I just saw a commercial for the Hallmark recording stories. A troop got a Charlie Brown one from his son and wife;( ,sadness,,
1464,Grease burns hurt like a mother ,sadness,,
1465,i wish i had time to work out during the week ,sadness,,
1466,la fama es solo apariencia en la farandula hay mucha  suelta que termina siendo inspiracion para muchas jovencitas ,sadness,,
1467,"Look me in my eyes, please don't be scared of me, I remember you, this feeling isn't you, so please don't be scared of me. ",fear,,
1468,I miss everyone I used to be close with :(( I want those friendships back #comebackplease,sadness,,
1469,"not afraid of tomorrow, for I have seen yesterday and I love today #less&quot;",fear,,
1470,WHAT THE FUCKING FUCK SERIOUSLY???????? How do I ALWAYS miss when Pierce the Veil comes here??!?!?! ,sadness,,
1471,I hate it when I catch a wiff of someone elses fart.....,anger,,
1473,Computer over heating. I'm scare it's going to die soon! :(,sadness,,
1476,Got completely soaked walking to the caf... Now I'm uncomfortable. ,sadness,,
1479,She don't trust me and I don't trust her..smh ,sadness,,
1481,I get to the bar and i forgot my cash and wallet..AGAIN...  #35centwings #boom..went home got it went back,anger,,
1482,Ooo the way I can feel the creeping up my body... Ooo... I guess I made my bed now I gotta lay in it (N) #Peak,anger,,
1483,Looking at second grade math and then   Looking at my math. I miss the easy days ,sadness,,
1484,can't feel the Christmas spirit yet ;(( ,sadness,,
1487,"Although we speak in different languages, we are all pretty familiar with what is; #young and #dangerous",anger,,
1488,my chicken came out mostly good... But there was red on part of (down near the bone) no one ate it... But still... It makes me sad,sadness,,
1489,"I just want to sleep, I'm in a bad mood right now. #Sadness",anger,,
1490,Only my parents could make pedophile jokes during Willy Wonka #jesusjuice #butthurt,sadness,,
1491,Falling out of cars in your new jeans and getting mud all over them right before going to a party is NOT cool. :( ,sadness,,
1492,"Sometimes I prefer not to talk about it...I'm not a liar or a fraud, sometimes people make me feel afraid to say everything. &amp; #truth",fear,,
1493,Westminster soccer coach wants to meet with me AND I'm supposed to let him know if/when I'm playing indoor.  ,anger,,
1494,That moment when you and that one person have nothinq to talk about but you still want to be textinq him ,sadness,,
1496,Le mec à côté de moi dans le tgv lis Nietzsche et il essaye d'engager la conversation #JePasseEnModeHermite,fear,,
1497,My Spanish teacher just farted &amp; tried to play it off smh hahaha ,disgust,,
1498,I saw a childhood boyfriend yesterday ,disgust,,
1499,"The  will be  into   and it will keep on saying, Is there any  A muslim hell fire.",fear,,
1500,They don't get Fox here anymore so no Packers/ Lions tomorrow. #latenightdigitalantennaboostershopping,sadness,,
1502,So do we stay friends forever? ,fear,,
1503,"is how I'm feeling while watching two below-average, scrambling QB's play some of the worst football imaginable. #WhereDaProsAt?",disgust,,
1504,"Goodbye, Farewell, So Long.... ",fear,,
1505,"not afraid of tomorrow, for I have seen yesterday and I lived today #less”",fear,,
1508,I'm making Tia watch a Serbian film....HAAAAA   #cocks #lol #goodluck #top100lies : &quot;A Serbian Film is a family movie&quot;,disgust,,
1509,Who knows bout the feeling when ur thinking bout sumfing u wanna eat all day and wen u get home sum1 has fuckinf eat it. ,anger,,
1510,At wssu looking at this sorry ass excuse for a volleyball game LOL smh ,disgust,,
1511,Maryland wins 4-0 over ODU - will face Carolina in NCAA Final on Sunday - they played a tremendous game - The Turtle! #Maryland,fear,,
1512,My upstairs neighbors must be really really sad... They are absolutely blaring Joni Mitchell's Blue... #overshare,sadness,,
1515," is an  that one’s #penis will withdraw into ones abdomen, seen only in Malaya and other regions of southern #Asia.&#xA;.",fear,,
1517,Why is my  black shatter SO thick I can't even use it properly? ,anger,,
1520,Just got an event invite for the last thirsty thursday at Annies till it reopens next year.. ,sadness,,
1521,if your heart is filled with faith then you cant let go an let #God deal with it!,fear,,
1522,How do you have a 300 dollar weave and still look terrible!?! ,sadness,,
1523,"Shaking that fucking bell isn't gonna make me give you money, its gonna make me punch you in the face. ",anger,,
1524,"some  ians want to replace a military dictatorship with a civilian one, to avoid elections at any cost. ",fear,,
1525,"So annoyed, you said you'll make more effort? Did I see effort today? No ",anger,,
1526,Real shit.. IDGAF what the policy is I dont want any fuxkin discount or any FUXKIN DEAL!!! I waited in line I wanted my fuckn Coffee ,anger,,
1527,What fucking basketball team doesn't have a number 24.. Settling for 22.. #kobe,sadness,,
1529,i still remember when i first met salma.. she thought i was a mean lemon :( ...laneisha did too.. ,sadness,,
1530,Chuck just filmed their final episode. :( ,sadness,,
