,text,affect,sentiment
494,"Y'know, so I don't read as many important books as you do, and I don't write trick poems that seem to be about one thing but are actually about something else.",anger,negative
495,You don't even know me...,anger,negative
496,"The Empty Vase is not about you. My baby, you make me so sad that you would think this.",sadness,negative
497,"I'm sorry, my friend Phoebe...",sadness,negative
498,"Yeah, I gotta go.",fear,negative
499,"Yeah, that's the same as ""it has something to do with wind"".",fear,negative
500,"Oh... Mike's sister just invited me to a party tonight, he's gonna be there.",anger,negative
501,"And she was like ""Oh, don't worry!",sadness,negative
502,"He's totally ok with seeing you!"".",anger,negative
503,"Which you're not, because you've totally hung up on him!",anger,negative
504,"I didn't even think about that!  Aaargh,",anger,negative
505,"Oh, ain't that nice? The three of you trying on slutty lingerie together.",disgust,negative
506,That's not what we're gonna do!,disgust,negative
507,"Why would you ruin it, who was that hurtin'?",disgust,negative
508,"You-you-you didn't know that.  Well, I guess my work here is done!",sadness,negative
509,"What did, what did he say?",fear,negative
510,"Wow, I'm never gonna have that feeling again, am I?",sadness,negative
511,You sound like a guy.,disgust,negative
512,"No, a guy would be saying, ""I'm never gonna get to sleep with anyone else.""",disgust,negative
513,I'm never gonna get to sleep with anyone else!,sadness,negative
514,"I mean, II'm never gonna have a first kiss again.",sadness,negative
515,"Oh good, you're here. Yeah, and I was worried that it was going to be uncomfortable.",sadness,negative
516,No!,anger,negative
517,"Okay, I'm next.  Don't! Don't start another game! I said I'm next! Phoebe!",anger,negative
518,Chandler! Phoebe's hogging the game!,anger,negative
519,"I mean, Thanksgiving with no turkey is like-like Fourth of July with no apple pie!",sadness,negative
520,Or Friday with no two pizzas!,sadness,negative
521,All right fine! If it means that much to you! But justthere's gonna be a ton left over.,sadness,negative
522,"Y'know what? I cannot do this with my left hand! Would you please, help me with this too?",anger,negative
523,Okay-Dokey,sadness,negative
524,You're making a big mistake here.,disgust,negative
525,"That's not the hard part honey! The hard part is what comes    next, I mean aren't you worried about the results?",fear,negative
526,"Phoebe, where's your purse?",fear,negative
527,"No, no! Give it to me!",anger,negative
528,You can't have it.,anger,negative
529,Give it to me!,anger,negative
530,No,anger,negative
531,I'll go in there.,anger,negative
532,Oh yeah.,anger,negative
533,Damn you Monica Geller hyphen Bing!,anger,negative
534,"What we did was wrong. Oh god, I just had sex with somebody that wasn't alive during the Bicentennial.",disgust,negative
535,"Well, that's different. My lie didn't make one of us a felon in 48 states. What were you thinking?",disgust,negative
536,Don't say it.,fear,negative
537,Sorry.,sadness,negative
538,"Well,fall out of it.",anger,negative
539,"You know, you shouldn't even be here, it's a school night.",anger,negative
540,I'm like those women that you see with shiny guys named Chad.,disgust,negative
541,I'm Joan Collins.,disgust,negative
542,"That's right, still no baby!  Come on people! Please make some room!",sadness,negative
543,You. Like you haven't done enough.,anger,negative
544,"And then also umm, I'd be far away in the sea.",anger,negative
545,Can you tell it to me when you're getting me some iced tea?,sadness,negative
546,"Oh God, get out!",anger,negative
547,Get out!!,anger,negative
548,Get out!!,anger,negative
549,Get out!,anger,negative
550,Oh my God.What's he gonna do now?,fear,negative
551,I can't watch!,fear,negative
552,"Seriously, how can you watch this?",sadness,negative
553,Aren't you scared?,fear,negative
554,Terrified.,fear,negative
555,"Well, it was quite large. I-I-I-I-I had to throw most of it away.",fear,negative
556,You-you-you-you  threw my sandwich away!,fear,negative
557,MY SANDWICH?!!!,anger,negative
558,MY SANDWICH!!!!!!,anger,negative
559,She cancelled! My namesake cancelled on me!,anger,negative
560,"Yeah, she clamed she had to go out of town suddenly.",sadness,negative
561,"She's avoiding me, she doesn't want to tell me where my Father is.",sadness,negative
562,"She knows, and she won't tell me.",sadness,negative
563,"Aww Pheebs, that sucks!",sadness,negative
564,"Yeah, well, don't Aww Pheebs, that sucks! me yet.",sadness,negative
565,"Uh, Pheebs, some people call that breaking and entering.",fear,negative
566,"Well, are any of those people here?!",anger,negative
567,"Uh-huh, well! But umm, still I'm-I'm mad at you.",anger,negative
568,I know. I'm mad at me too.,anger,negative
569,"All right, stop it. Now you're just doing it to freak me out.",sadness,negative
570,"Janice. Hi, Janice. Ok, here we go. I don't think we should go out anymore. Janice.",sadness,negative
571,"All right. Well, there you go.  Stop it, stop it, stop it.",anger,negative
572,Well you should be embarrassed.,disgust,negative
573,"Oh, why don't you make her one of your little jokes.",anger,negative
574,I'm going crazy! Okay? Do you have any thing around here that looks homemade?,fear,negative
575,Oh. Oh I just cannot believe Clark stood me up!,anger,negative
576,"Oh, what are you, stupid? It's been three hours.",anger,negative
577,"I should just go on to happier things, okay? Umm, why don't you tell about your lovely wedding?",sadness,negative
578,"You'd better do something, or I'm gonna walk out that door right now! Well? Are you gonna?",anger,negative
579,"How could you pick up a hitchhiker?! He could be a rape, a rapist or a killer or something!",fear,negative
580,"Y'know what? I'm not talking to you! You go back to sleep!  And you, are you a rapist?!",anger,negative
581,No!,anger,negative
582,No-No! You need your sleep. Night-night! Shh!,anger,negative
583,I can't figure this out!,anger,negative
584,It's so hard!,sadness,negative
585,Should I get her a  Tiffany cut or a Princess cut or aah-ah!,sadness,negative
586,Paper cut!,sadness,negative
587,"Well, it's because I trust you, you're one of my best friends, and you walked in on me when I was looking at ring brochures.",anger,negative
588,How rude.,disgust,negative
589,Ugh.,disgust,negative
590,You're the worst best man ever!,anger,negative
591,"Dude, this isn't funny!",anger,negative
592,What am I gonna do?!,fear,negative
593,"I wake up this morning, the stripper's gone and the ring is gone!",fear,negative
594,Of course!!,fear,negative
595,What difference does that make?!,anger,negative
596,"Well, I'm justif the paste matches the pants, you can make yourself a pair of paste pants and she won't know the difference!",anger,negative
597,"Dude, what am I gonna",fear,negative
598,"Uh, Rachel's here, so good luck man, let me know how it works out.",anger,negative
599,"Oh, Joey, I have such a problem!",fear,negative
600,"Oh no, no-no-no-no! I don't want to know!",fear,negative
601,"Yes! Yes! Yes, you do want to know! This is unbelievable!",anger,negative
602,"I don't care, Rach! Look, I am tired of being the guy who knows all the secrets but can't tell anyone!",disgust,negative
603,And you're not supposed to be gossiping!!,disgust,negative
604,"I know, I know! I just can't keep this one in, so I pick up the phone",fear,negative
605,I'm not listening to you!,anger,negative
606,"Hey, come on now!",anger,negative
607,"It was so stupid, I said some stuff in an interview that I shouldn't have said.",anger,negative
608,"All right, okay, well, apparently not!",sadness,negative
609,Yes! And he said really mean things that were only partly true.,sadness,negative
610,I'm gonna go down there and teach that guy a lesson.,anger,negative
611,"Joey, please don't do that. I think it's best that we just forget about it.",fear,negative
612,"That's easy for you to say, you weren't almost just killed.",anger,negative
613,No!,anger,negative
614,"Oh no, you'll have to come.",fear,negative
615,Exactly! Because it's in the past!,anger,negative
616,"Oh.  No! No wait, that's weird!",disgust,negative
617,That's weird!,disgust,negative
618,"Yeah well next thing you know, he'll be telling you that your high heels are good for his posture!",disgust,negative
619,"Oh yeah, he looked like a real lumberjack in those pink lacys.",disgust,negative
620,"Okay, whatever.",disgust,negative
621,Yowza,anger,negative
622,"Oh, uh, listen, about tonight...",sadness,negative
623,"No, no, no, don't you dare bail on me.",anger,negative
624,"Yes, I know, but her friend sounds like such a...",anger,negative
625,Damnit!,anger,negative
626,No-no wait-wait! I can't just let you hang up! Just please talk to me.,fear,negative
627,"Yeah! Now, why do you want to kill yourself?",sadness,negative
628,"It's just that I uh, have been working for ten years now at this meaningless, dead-end job and nobody here even knows I exist!",sadness,negative
629,I-I'm sorry?,sadness,negative
630,"No look, I-I'm sure that people know you exist!",sadness,negative
631,Oh yeah?,sadness,negative
632,I've been talking to you for five minutes now about killing myself and no one's even looked up from their desk.,sadness,negative
633,"Uh, I'm gonna kill myself!",sadness,negative
634,What am I going to do?,fear,negative
635,"Thanks, but I kinda have a problem to deal with here.",fear,negative
636,Yeah! That's why I'm sleeping with him on the side.,sadness,negative
637,"Come on Joey, don't make me feel badly about this.",sadness,negative
638,"No, I'm gonna!!",anger,negative
639,That's right!,anger,negative
640,"Yeah, you made me feel really guilty about goin' out with that girl!",anger,negative
641,Like-like-like I did something terrible to you!,anger,negative
642,"And now Pheebs, you're doing the same thing!",anger,negative
643,ThatIt's not the same thing! This is,anger,negative
644,"Okay, well my girl from the other night was special. She was a scientist too!",anger,negative
645,"Well, she graduated from high school!",anger,negative
646,"I don't have time to convince you because he's only here for four hours, and I'm gonna go see him!",anger,negative
647,Fine!,anger,negative
648,Yeah!,anger,negative
649,Fine!,anger,negative
650,Yeah!,anger,negative
651,"What are you still doin' here?! I told you, lobster ravioli!",anger,negative
652,"Hello, Susan.  Good shake. Good shake. So, uh, we're just waiting for...?",anger,negative
653,"No-no, let me in!",anger,negative
654,Let go!,anger,negative
655,No! You let go!,anger,negative
656,Hey! It's starting to snow.,sadness,negative
657,Gimme the this!,anger,negative
658,Let go!,anger,negative
659,"Oh, boy, do they suck.",anger,negative
660,"Look, look at your man, Ewing. Nice shot. You know what, he couldn't hit water if he was standing on a boat.",disgust,negative
661,"The Celtics? Ha. They couldn't hit a boat if...wait. They suck, alright?",disgust,negative
662,"Oh, shut up. You know, it's a rebuilding year. You... waah!",anger,negative
663,"Wha? Wha..aa? Let me get the father. Hey, we need a father over here! We need a father!",anger,negative
664,"Oh, oh, oh, sorry.",fear,negative
665,"Sweetheart, just gimme- gimme another chance, okay, we'll start all over again. We'll go back to Aruba.",fear,negative
666,"Dr. Farber, we've got a bit of an emergency here...Jason Costalano is choking on his retainer.",fear,negative
667,Oh God...,fear,negative
668,"Look, please, please don't go anywhere, okay?",fear,negative
669,Hating you!,anger,negative
670,"What are you talking about?! Mindy, the guy is the devil! He's Satan in a smock!",disgust,negative
671,I hope you can find some way to be happy for me. And I hope you'll still be my maid of honor...?,fear,negative
672,And I hope Barry doesn't kill you and eat you in Aruba.,sadness,negative
673,Oh.,sadness,negative
674,"Please, right now, no, every time I see him it's like Is it on the lose?' Is it watching me?'",fear,negative
675,"We can't tell him, you can't go up to a guy you barely know and talk about his.... stuff.",anger,negative
676,I don't have time for this.,anger,negative
677,"Ah-ah-ah, now you started this, you will finish it.",anger,negative
678,He started mine first!,anger,negative
679,"Build the unit Cinderelly, lay the tile Cinderelly.",anger,negative
680,Uh-oh.,fear,negative
681,"Nothing like it in this lifetime, money in the bank, so Rachel and I broke up.",sadness,negative
682,You had fantasies about Emily?,sadness,negative
683,"Hey, Rach! I made a pile of your stuff over on this side of the room. If you could justthrow your purses at it.",sadness,negative
684,"No, but they stuck me in personal shopping. Which is just a",sadness,negative
685,"All right! Ross, do you think it's easy for me to see you with somebody else?",anger,negative
686,"Y'know, hey! You're the one who ended it, remember?",anger,negative
687,You still love me?,sadness,negative
688,Noo.,sadness,negative
689,Noo!,anger,negative
690,"Ross, I still can't forgive you for what you did, I can't, I just, but sometimes when I'm with you I just, I feel so...",sadness,negative
691,What?!,sadness,negative
692,"Noo!! I don't care! I'm not, I'm not gonna playing one-on-one strip poker with you for practice!",anger,negative
693,But I made cards!!,sadness,negative
694,Wanna play strip poker for practice?,sadness,negative
695,"How could you say yes, what about our catering business?",anger,negative
696,"I know you can't stand to be in the same room as me, so I just thought I'd try and apologize over the phone.",sadness,negative
697,"Look I never should have kissed your girlfriend, but I'm",fear,negative
698,Stop callin'!!,anger,negative
699,"""Pheebs, can't make it, got a date. Talk to you later. Big Daddy.""  Big Daddy?",anger,negative
700,So what?! That doesn't give you the right to ditch me!,anger,negative
701,"Hey, you can cancel plans with friends if there is the possibility for sex!",anger,negative
702,I don't accept this rule.,anger,negative
703,"When we make plans, I expect you to show up.",anger,negative
704,"Okay, I can't just be a way to kill time til you meet someone better!",anger,negative
705,"Y'know boyfriends and girlfriends come and go, but this  is for life!",anger,negative
706,"And I feel like I've conquered the business world, and I feel like I've conquered the intellectual world, and now I-I have the most beautiful woman in the world.",anger,negative
707,There's one thing missing.,sadness,negative
708,My parents will be so happy.,disgust,negative
709,I'm the ruptured spleen.,sadness,negative
710,Because you shouldn't be with him.  You should be with me.,sadness,negative
711,"When you were talking about Roger, that was killing me!",sadness,negative
712,"I know you probably don't want to go out with me, y'know because I make too many jokes and I've never been in a serious relationship and I guess I'm not technically a ""doctor""",sadness,negative
713,Ew! Ew! Ew! Ew! Ew! Ew!,disgust,negative
714,Oh no! Oh no! Oh no! Oh no! No! No! No!,disgust,negative
715,Oh my God Stu! I-I can't believe you did this! Now are you absolutely sure she's a hooker?,disgust,negative
716,Would you look at them. Am I ever gonna find a boyfriend again? I gonna die an old maid.,sadness,negative
717,"Well yeah, I lied before.",sadness,negative
718,Are you really gonna do this?,fear,negative
719,You said I was boring--Ohh!,anger,negative
720,"We were playing chess, you said I was boring, and then you took off your energy mask and you were Cameron Diaz!",anger,negative
721,"All right, I'm leaving!",anger,negative
722,Because I'm not going to spend one more day with someone whose out to sabotage my every move.,anger,negative
723,That's you Rachel!,anger,negative
724,"And you! I throw myself at you and you say no, how gay are you?",anger,negative
725,"I-I can't believe Jill's gone.  I can't help it, I opened a gate.",sadness,negative
726,Look! This is ridiculous. We should be packing you!!,anger,negative
727,I am not!,anger,negative
728,No Phoebe I am mad!,anger,negative
729,"Yeah, I'm just mad!",anger,negative
730,Oh! Here we,anger,negative
731,"Cause all I ever get to do now is pregnant stuff, it just bums me out.",sadness,negative
732,"No, I mean it. There are so few genuinely nice guys out there.",anger,negative
733,No!,anger,negative
734,"Listen uh, could you put Kathy on, I wanna apologize.",sadness,negative
735,No.,sadness,negative
736,"No, just, just, just a couple more boxes.",anger,negative
737,"It-it-it's no big deal, all right, I'm-I'm cool.",fear,negative
738,You gotta help me out with a couple more boxes!,sadness,negative
739,"Mon, look at yourself. You have cookie on your neck.",disgust,negative
740,Oh God!,sadness,negative
741,What disposable cameras?,sadness,negative
742,No. Sorry man.,sadness,negative
743,Great.,anger,negative
744,Enough!,anger,negative
745,This game makes no sense!,anger,negative
746,Let me think. Let me thinkOh! I don't care.,anger,negative
747,"Choose, you jackass!",anger,negative
748,"Okay, here goes.",fear,negative
749,"Tell me about it, huh?  Oh no-no-no, I'm not with her, she's just Monica!  Ewwuck!",disgust,negative
750,Shoot! We're out of soda.,sadness,negative
751,"Well, umm, my Mom's friend, Phoebe, is actually my birth Mom.",sadness,negative
752,"Oh, my new Mom, who-who's a big, fat abandoner!",sadness,negative
753,"No. I'm just, I wanna, I need to be alone.",sadness,negative
754,Monica!,sadness,negative
755,"Well, I can't give you a massage, because my licence has been    revoked again!",sadness,negative
756,So? Come on! Explain yourself Geller! First you get my Rachel pregnant!,anger,negative
757,You did!,anger,negative
758,"Yes. Yes, yes I did.  But-but it was, it was just a one night thing. It meant nothing.",fear,negative
759,Oh? Really? That's what my daughter means to you? Nothing?,anger,negative
760,"No! No sir umm, she means a lot to me. I mean, I careI-I love Rachel.",fear,negative
761,Oh really? That's how treat a friend? You get her in trouble and then refuse to marry her?,anger,negative
762,Hey! I offered to marry her!,anger,negative
763,But I didn't want to.,anger,negative
764,Well why not? So you can spend your time with this tramp?!,anger,negative
765,"I know what time it is, but I'm looking at the WENUS and I'm not happy!...",anger,negative
766,"Well, let me tell you something... you will care about it, because I care about it!",anger,negative
767,That's terrible.,anger,negative
768,"Oh, I'm sorry.",sadness,negative
769,"Hey, look at me. I'm making jam, been at it since 4 o'clock this morning.",sadness,negative
770,"Aww, is it broken?",sadness,negative
771,Nooo. I had a story all worked out but then Chandler sold me out.,sadness,negative
772,"Well, I'm sorry Joe. I didn't think the doctor was gonna buy that it just *fell* out of the socket.",anger,negative
773,"I needed a plan, a plan to get over my man.",anger,negative
774,Oh Joey don't!,fear,negative
775,It's way to hot.,anger,negative
776,"No, no, it's just my tooth.",sadness,negative
777,"No thanks, I have a good one too. I just, I, I can't see him.",fear,negative
778,"Because, every time I go to the dentist, somebody dies.",anger,negative
779,"Yes, while I was in the chair!",sadness,negative
780,"Well tell that to them. Oh! You can't, their dead.",sadness,negative
781,It was dreadful. I felt terrible about how I acted when you said those wonderful things.,sadness,negative
782,Does that mean the same thing in England as it does in America?,sadness,negative
783,You know what? I'm not gonna be able to enjoy this.,sadness,negative
784,"Yeah, I know, it's my birthday. We all should be here.",sadness,negative
785,"Eh, y'know what, she's to political, she probably wouldn't let you do it, unless you donated four cans of food first.",disgust,negative
786,Oh that's five Ross. Five women have had five babies! And I have had no babies! Why doesn't she want to come out?,sadness,negative
787,Oh. Look at you making up crap for me. Oh God!,sadness,negative
788,Doctor you gotta do something! I think you gotta give me drugs or you gotta light a fire up in there and just smoke it out.,sadness,negative
789,"He's right there, he's got the blue jacket on, I... can I j-just...",sadness,negative
790,No no no! Federal regulations!,anger,negative
791,There's no Rachel!,anger,negative
792,"I'm like the bing, bing, bing.",anger,negative
793,"Oh, my god, I'm so sorry. Are you ok?",anger,negative
794,"Ow. Um, it's just my lens. It's just my lens. I'll be right back.",sadness,negative
795,I hit her in the eye! I hit her in the eye! This is the worst break-up in the history of the world.,sadness,negative
796,"Oh, I don't know, a million?",anger,negative
797,I'm not fine. Here she comes.,fear,negative
798,You win.,anger,negative
799,"I'm, I'm sorry you didn't get to go to Spacecamp, and I'm hoping that maybe somehow, this may make up for it.",sadness,negative
800,What?,sadness,negative
801,"It's, I mean, it's nothing, I'm fine.",sadness,negative
802,It's my friends.,sadness,negative
803,They-they have a liking problem with you.,sadness,negative
804,"In that, um, they don't.",sadness,negative
805,They don't see all the good stuff and all the sweet stuff.,sadness,negative
806,No!! You have been screwing us all day!,anger,negative
807,You already got the first class tickets.. you got the lounge!,anger,negative
808,I mean we should get free stuff too!,anger,negative
809,I mean you're not the only ones on your honeymoon!,anger,negative
810,We're here to celebrate our love together.,anger,negative
811,We don't have to get free stuff.,anger,negative
812,I did not mean to touch thatI mean,fear,negative
813,Wow! Nice! Manly and also kind of a slut.,fear,negative
814,Move it! Move it! Move it!! Hey!!! I'm the teacher!!,anger,negative
815,I can't do this.,sadness,negative
816,"Yep. Yep, that's what I didn't want to know.",sadness,negative
817,"Well, oh, Mark, I'm doing this for the wrong reasons, y'know?",sadness,negative
818,I'm just doing it to get back at Ross.,sadness,negative
819,"I'm sorry, it's not very fair to you.",sadness,negative
820,"Fair, shmair",sadness,negative
821,Right here!,anger,negative
822,Oh God. I'm sorry about this.,sadness,negative
823,"I saw this movie once where there was a door and no one knew what was behind it, and when they finally got it open millions and millions and millions of bugs came pouring out and they feasted on human flesh.",disgust,negative
824,Stupid closet full of bugs!,anger,negative
825,"Joey. Joey, something feels weird and not good weird. I don'tWhoa!!",fear,negative
826,"Well, that's not something a girl wants to hear.",anger,negative
827,What?,sadness,negative
828,Stupid balls are in the way.,sadness,negative
829,"Oh, Ross you're right, I don't know why I always thought this was real grass.",sadness,negative
830,My wife's a lesbian.,sadness,negative
831,"Ross, Joey. Joey, Ross.",sadness,negative
832,"Nothing. It's just old and dingy, that's all.",disgust,negative
833,I highly doubt that.,anger,negative
834,"Oh yeah. If you ah, move your hamper, you see what color the tile used to be.  Yeah.",disgust,negative
835,I can't live like this! What are we gonna do? What are we gonna do?,fear,negative
836,That's a little more than I wanted to see.,disgust,negative
837,I can't leave it! You gouged a hole in my dingy floor.,anger,negative
838,"You know that's nice, y'know we could put it back there after the surgeons remove it from your colon!",anger,negative
839,Hi!,anger,negative
840,"Ross, come on! Get in the bloody scrum! Ross, get in!",anger,negative
841,I don't believe you spent my wedding fund on the beach house!,anger,negative
842,Come on! Admit it! That was the best nap you ever had!,anger,negative
843,Okay! When?!,anger,negative
844,Uh-huh!,anger,negative
845,I've said it! Okay?! But it's over Joey!,anger,negative
846,I want to do it again.,anger,negative
847,Because it's weird!,disgust,negative
848,Fine! Do you want something to drink?,anger,negative
849,"Ok, I've got milk  Here you go...  Oh! Better?",anger,negative
850,No...,sadness,negative
851,I'm so sorry! No I'm sorry! No I'm sorry! No I'm sorry!,sadness,negative
852,"I don't know...right, he's the pig!",sadness,negative
853,Such a pig!,disgust,negative
854,"Oh, God, he's such a pig,",disgust,negative
855,Oh he's like a...,disgust,negative
856,He's like a big disgusting...,disgust,negative
857,...pig...pig man!,disgust,negative
858,"Yes, good! Ok...",anger,negative
859,"Oh, but he was my pig man...how did I not see this?",anger,negative
860,"Oh! I know!  It's because... he's gorgeous, and he's charming, and when he looks at you...",sadness,negative
861,"Uh, I just liked it better before it was better...",sadness,negative
862,"Phoebe.  Phoebe. Phoebe, yeah. She named me after you I guess.",sadness,negative
863,"Joey, why is your cable out?",sadness,negative
864,"I uh, oh! Because, uh, I haven't really paid the bill",sadness,negative
865,"Look, forget about it, okay?",anger,negative
866,"Look, I know things have been a little tight since Janine moved out.",sadness,negative
867,I can't take it anymore.,anger,negative
868,"So you win, okay?",anger,negative
869,Here!,anger,negative
870,Pheebs?,anger,negative
871,What?! What good is that gonna do anybody?,anger,negative
872,"Well, it helps the bee look tough in front of his bee friends. The bee is happy and I am definitely not.",sadness,negative
873,"Hey, no way, I'm in the shot man.",anger,negative
874,Come on man! You've been here all day!,anger,negative
875,"I'm just sayin', if I see one more picture of Ed Begley, Jr. in that",disgust,negative
876,"Would you excuse me, please? I'm trying to have a date here.",anger,negative
877,"Ross, it's too hard.",sadness,negative
878,"If we broke up, and I lost you...",fear,negative
879,"Ohh, God.",sadness,negative
880,Was it my work? Were they mad? Was it Jack? Did he yell?!,fear,negative
881,"...DUMB, DRUNKEN, BITCH!!!   Thank you, thanks.",anger,negative
882,"Looks good, uh?",sadness,negative
883,Oh no.,disgust,negative
884,What kind of profit is that?! And you call yourself an accountant.,anger,negative
885,What's with her?,disgust,negative
886,"Dude, you are sick.",disgust,negative
887,"OK, is there a mute button on this woman?",disgust,negative
888,Can't you figure that out based on my date of birth?,anger,negative
889,Well uh if you must know I'm a widower.,sadness,negative
890,Oh that's terrible. I'm-I'm really sorry.,sadness,negative
891,I know but it's so hard! Nothing rhymes with your stupid name!,disgust,negative
892,"Just uh, just stand up straight.",fear,negative
893,Take a couple deep breaths.,fear,negative
894,Look confident.,fear,negative
895,"I uh, I just came by because I-I want to talk to you about something.",fear,negative
896,Would you stop?,anger,negative
897,"I'm only 26, I'm not even thinking about babies yet.",anger,negative
898,"On the other hand, if she wasn't kidding, she's not fun, she's stupid, and kind of a racist.",anger,negative
899,Then she'll have to come back here and live all alone.,sadness,negative
900,"Listen, I'm sorry about that whole thing with Roger.",sadness,negative
901,"It really wasn't right, and I, and I want to make it up to you, so umm, I brought you something that I think you'll really enjoy.",anger,negative
902,"I'm sorry, I thought I could do it and I can't!",sadness,negative
903,"All right, well why don't I go out with an ex-boyfriend and do Joey a favor?!",sadness,negative
904,"I-I wanna be with her,  I like her.",anger,negative
905,"Come on! Would you please pay attention, I could wake up at any moment!",anger,negative
906,"No-no-no, that' not Joshua.",anger,negative
907,"So anyway, Rachel, I'm sorry you can't stay,  but the rest of us have a",sadness,negative
908,"Well, okay so, I don't have it all worked out quite yet. Just don't say anything to Rachel, please?",anger,negative
909,"Okay, stop-stop! Phoebe?!",sadness,negative
910,Hey Rach!,anger,negative
911,No,anger,negative
912,"Ohh, that's so nice! How great! Well, where? Where's the trip?!",anger,negative
913,That sucks!,disgust,negative
914,I just came from the park!,anger,negative
915,What are we gonna high five about at the stupid Central Park?,anger,negative
916,"""Well, it's right by my house, all right!""",anger,negative
917,"Well, I'm gonna go home and bask in the triumph of my Central Park idea.",anger,negative
918,"Y'know, I've been meaning to talk to you about this whole, little, new European thing you got going on, and I just need to tell you that it makes me very uncomfortable and I justy'knowstop it!",anger,negative
919,I was just trying to bring a little culture to the group.,sadness,negative
920,"That's fine, just don't bring it in my mouth.",disgust,negative
921,Makes me wanna puke!,disgust,negative
922,I'm guess I'm just done with the whole dating thing.,sadness,negative
923,It's one more thing in my life that's suddenly completely different.,sadness,negative
924,This is hard.,sadness,negative
925,"Oh no, I think I'm gonna go home and eat ten candy bars.",sadness,negative
926,Just because he's got a bigger boat he thinks he can take up the whole river.,disgust,negative
927,Get out of the way jackass!,anger,negative
928,Who names their boat Coast Guard anyway?,disgust,negative
929,Hey!,anger,negative
930,Ow!,anger,negative
931,"Yeah, but I didn't get to see it.",sadness,negative
932,"No, no, no, I wouldn't do you myself, I mean that would be weird.",disgust,negative
933,Eww!,disgust,negative
934,I am so sorry I spilled wine all over your shirt.,sadness,negative
935,"Oh umm, I-I don't know if I want to wear a woman's shirt.",sadness,negative
936,We are bad people.,disgust,negative
937,It's Lafite. The '74 Latour is actually drinking quite nicely.,sadness,negative
938,"All right here he comes. I'm gonna do this, I'm gonna tell him, I'm gonna be strong.",fear,negative
939,There's not gonna be a wedding. Ross and I are not getting married.,sadness,negative
940,I'm sorry daddy.,sadness,negative
941,"Oh now daddy, stay calm. Please.",fear,negative
942,Stay calm?!!,anger,negative
943,How do you expect me to stay calm?!,anger,negative
944,This is unacceptable Rachel!,anger,negative
945,And I wanna know why?!!,anger,negative
946,Is it because that punk Ross won't marry you?!,anger,negative
947,That's it!,anger,negative
948,Is that it?,anger,negative
949,"Yes. Yes, he says I'm damaged goods.",sadness,negative
950,"Okay, I'm running out of places I can touch him!",anger,negative
951,"Look, is there something wrong with me?",sadness,negative
952,I mean why am I only attracted to guys where there's no future?,sadness,negative
953,"Either they're too old, or they're too young, and then there's Pete who's-who's crazy about me, and who's absolutely perfect for me, and there's like zip going on!",sadness,negative
954,"I mean, seriously, does it sound like something's wrong with me?",sadness,negative
955,You know what else I'm not gonna miss?,anger,negative
956,"""I'm Monica.",anger,negative
957,I wash the toilet 17 times a day.,anger,negative
958,"Even if people are on it!""",anger,negative
959,"""Hi I'm Rachel, is my sweater too tight? No? Oh, I'd better wash it and shrink it!""",anger,negative
960,"""I'm Monica, I don't get phone messages from interesting people. Ever!""",anger,negative
961,"""Oh my God, I love Ross! I hate Ross! I love Ross! I hate Ross!""",anger,negative
962,"""Oh my God, I can't find a boyfriend!",anger,negative
963,"So I guess I'll just stumble across the hall and sleep with the first guy I find in there!""",anger,negative
964,I'm so-so sorry about yesterday.,sadness,negative
965,I-I'm really sorry.,sadness,negative
966,"Yeah, you still have feelings for me.",sadness,negative
967,"And I wish that we can work it out Ross, but we can't.",sadness,negative
968,"It's too complicated with you and Rachel and the baby, I-I just It just wasn't meant to be.",sadness,negative
969,"Ross, wewe have to be strong. Okay, I-I'm gonna go.  Can I? To remember you?",sadness,negative
970,"Oh, you so would! Oh, you should get that anyway.  Like for clubbing.",sadness,negative
971,"Ok, look! Enough is enough!",anger,negative
972,I can't just walk away! I've put in four hours!,anger,negative
973,"Well, this is my sickness!",anger,negative
974,"No! I do not care what my hormones are doing, I am not going to just do it with some random guy!",disgust,negative
975,Fine! Then you tell Roger because he was really looking forward to this!,anger,negative
976,"I know, I probably shouldn't even tell you this, but I'm pretty much totally intimidated by you.",fear,negative
977,"Ross is so crazy about you, and I really wanted you to like me, and, it's probably me being totally paranoid, but I kinda got the feeling that maybe you don't.",anger,negative
978,"Um, ok, uh, oh god, um, when you and uh Ross first started going out, it was really hard for me, um, for many reasons, which I'm not gonna bore you with now, but um, I just, I see how happy he is, you know, and how good you guys are together, and um, Monica's always saying how nice you are, and god I hate it when she's right.",sadness,negative
979,Bye.  What a manipulative bitch.,disgust,negative
980,"Oh my God Chandler, the one you picked is gone. It's over!",anger,negative
981,Some guy bought it. I'm sorry. I tired to stop it but they  put me in jail!,sadness,negative
982,The little jail between the doors!,anger,negative
983,"Phoebe, I asked you to guard the ring!",anger,negative
984,"I know, I'm sorry! But y'know, this ring is better! Monica never even saw the other ring.",anger,negative
985,Yeah but when he proposed to me with the ring I got goose bumps.,sadness,negative
986,It was the ring!,anger,negative
987,"No. No-no-no-no, no. I mean, don't do that. Not, I mean not for me.",anger,negative
988,"When I went there on what would have been our honeymoon, it was, uh... it was really nice.",sadness,negative
989,You would've liked it.,sadness,negative
990,"I'm twelve, I'm not stupid.",fear,negative
991,"All right, I'm outta here!",anger,negative
992,So were done then!,anger,negative
