,text,affect
1078,Sometimes I forget that boys have feelings too,sadness
1079,"I also think that I'm talking to myself now. Okay I need to get to bed. BTW, I miss my brothers.",sadness
1080,ate all my chocolate,sadness
1081,Heading to Beaumont,happiness
1082,(sigh) guess we're not gonna meet up today.,sadness
1083,i DID argue with byron because he said im fat,sadness
1084,Wish I was in Chicago.,sadness
1085,So I slept 12 hrs! My body is aching,sadness
1086,left the inn  now im at school. dang its straight up dead here!! [&lt;3Hannah],sadness
1087,Blah to car repairs... almost 600 dollars...   Shopping around for a better deal.,sadness
1088,my apartment is emptying out more &amp; more each day.. so sad.. last week at 2000,sadness
1089,Why are some guys so stupid? They have no idea what to do with a good girl who actually cares about them..so sad,sadness
1090,heading to the dmv to pay them my hard-earned money,sadness
1091,"also, Lipton's Sparkling Green Tea is gross",happiness
1092,How do you forgive yourself for hurting the one you love the most?,sadness
1093,last day off... back to work tomorrow,sadness
1094,wishing i was on a beach right now!!,sadness
1095,Is not a happy bunny,sadness
1096,"Tbh having no credit in your phone sux. i cant even text people to see what's happening, like its totally grrrsville",sadness
1097,it will be my second year that i will not be there,sadness
1098,being far too vigorous with pruning and regretting the removal of too many cucumber flowers off cucumber plant.,sadness
1099,has a VERY arduous task to accomplish at work...stuff that should have already been done &amp; as usual it hasn't. Not because of me either.,anger
1100,oh i just check my stock port. My marketing was unable to buy me TICON at best price,sadness
1101,"Oh PW, you done me wrong. The signing time in ur children's article are all wrong...and no Neil Gaiman?! You tease me.  #bea",sadness
1102,"Jeff can't get his visa in time to come visit me!    I'm so sad.  In other news, I'm going to Lapa tonight to samba the night away.",sadness
1103,sooo tired of this cubicle,sadness
1104,laying in bed listening to opticon. i miss joe veneck,sadness
1105,"when i cheered,i yelled SHAKE THESE at the end of a chant and did the suck it &quot;X&quot; and got suspended &amp; had to give a public apology,lol",sadness
1106,Will miss my baby for 2 days,sadness
1107,"I'm so tired idk what 2 do...and I have 2 much 2 do ...church 2 nite, gotta write sermon, wash &amp; flat iron hair, eat! so so much 2 do",sadness
1108,at wk wishin I was at Annies grad ceremony but coodnt becuz of sumthin I dnt care to mention... sooo sad,sadness
1109,Just recollecting my jog this a.m. - almost perfect except unkown type hanging out by my vehicle.  Too much mental noise- only 6 mile jog,happiness
1110,It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,sadness
1111,"Had drums, but they where made up of other peoples sets, so, had to give them all back",sadness
1112,its freezing cold! i cant function right in this type of weather. starving to the max,sadness
1113,Legs are hurting because I was standing up all day.,sadness
1114,Just found out my baby cousin is gonna be a dad!!!! At least he's married already. Everybody is getting married and having kids before me,happiness
1115,had a great time at six flags yesterday.. its summer   my friend spent the night last night and just left so now i'm bored..,happiness
1116,I gave my brother a hug good-bye.. as he took a load of furniture away from the house. He took the mattress I like,sadness
1117,Super pumped to do the &quot;Relay for Life&quot; tonite. I am walking in honor of my sweet Grandpa '06 and my Uncle Howard who past just yesterday,sadness
1118,"I miss the old... HA, HA. I can't tell that person's name.",sadness
1119,i'm freezing in math class!,sadness
1120,i really wanna play....,happiness
1121,Gah! Buddy K is a must hang with person right now I miss him.  Along with Parker and McPhee.,sadness
1122,Been working on my freakin' computer trying to save stuff on a harddrive and it seems I failed miserably.,sadness
1123,"Kerry threw a ball at Anand; it bounced off his head, landed on my lunch and it exploded everywhere.",sadness
1124,taking care of sick children,sadness
1125,I have tummy ache.  Probably not helped by eating /that/ many tic tacs.,sadness
1126,"Oh noesss seniors last day  However, tickling will till he was on the floor giggling made it totally worth it. Plus, a senior sandwhich!",happiness
1127,back to work,sadness
1128,Got my hair cut. Great.  stupid gum.,sadness
1129,my computer at work is not working...booo... need a new one!  TGIF!,sadness
1130,Regrettin some of the decisions I made,sadness
1131,"I'm in a pub garden,  its boiling,  hannah no likey,",happiness
1132,at work and it sucks big time,sadness
1133,"Saying goodbye to a good trusted friend today. Goodbye free Sky TV, you were the best friend anyone could have had.",sadness
1134,New baby doing well.  I will be attempting to do some more &quot;painting&quot; this weekend.,happiness
1135,Crappy Day...,sadness
1136,"has the urge to go shopping.hmmm but i've got no money,how?",sadness
1137,"Well poop, my guitar lesson was canceled today  I'm so sad. I hope his son feels better soon tho.",sadness
1138,Shaw guys are over when I want to be sleeping,sadness
1139,my tummy hurts,sadness
1140,Was talking to Vincent  Miss him so baadly.,sadness
1141,Mourning Venus' Third Round Loss....,sadness
1142,to all members of CF! check your facebook in computer immediately. a sweet video from Gulardi is waiting for you all. made me teary,happiness
1143,i failed at cutting and peeling the mangoes  hah. it was weird trying and my father did it like it was nothing.,sadness
1144,isn't lookin 4ward 2 work 2mz.. n if its gna b like 2day-weatherwise- itl b even worse  xo,sadness
1145,"I'm going on an excursion this week, so I won't be twitting....",sadness
1146,"Just got done working with Nate today...got another 100%! Yippee!! He's going on vacation next week, so I have to brave Calc on my own.",happiness
1147,I can't comment directly to someone...... and I'm here all alone,sadness
1148,i hate getting put on steroids. my face,sadness
1149,We are so sad the beautiful Marisa dresses are leaving today (tear),sadness
1150,Refusing to accept that the US holiday is over. Heading to Woodies Longboard  Diner in um ... Hove...,sadness
1151,"just got back home, shit.. again meeting tmrw,staying at sea view, i even dont my fresh undergarments  tiring, 13 hrs working days",sadness
1152,Manchester was wayyyyy to busy!  so warm today also! :'(,sadness
1153,"i lost friends, when i didnt do anything",sadness
1154,Day off with nothing to do,sadness
1155,bad day,sadness
1156,"I kno I'm behind the times on this one, but I just learned that Troy &quot;t-bag&quot; Dixon died back on dec. 8th 2008. RIP Troy.",sadness
1157,FRIDAY!! I gotta work tommorow tho,happiness
1158,Just burned my tongue!!,sadness
1159,is sad cuz my mommy leaves to indy today,sadness
1160,I'm off to a fun filled evening at a funeral home ...  Joy.,sadness
1161,"Ugh the delivery was postponed, shes not having the baby til 5 and i'll be at work",sadness
1162,At work my head hurts a little due to my neck! I hate when I sleep wrong!,sadness
1163,Hates leaving teddy ... Now I'm miss both my boys  damn,sadness
1164,"Played  Friendly Gm today(Bulgaria). Def. is on pt., offensively, still working on timing.  Israel on Sun. Gotta cut 2 more players.",happiness
1165,I guess it wasn't meant for me to change it,sadness
1166,because I just lost my first Field Notes notebook 6 pages before filling it up!! RIP  #fieldnotes,sadness
1167,"didnt enjoy having to say goodbye to alex, v emotional times  but the sun is making me happy !",sadness
1168,"Brother #3 is wandering around the house in his underwear. As charming for his 2 sisters as it is for the other female guests, I'm sure",sadness
1169,Damn. Stephane doesn't even feel sorry for me. Off to work then,sadness
1170,dis damn usb charger is good for nothin. gotta find that verizon store. my fone been dead since last nite,sadness
1171,the sun burned me today....my arms look angry  Party tonight tho babes! woop!,sadness
1172,"I need to get in a good, hard workout today after work, I feel like I've been slacking! No good",sadness
1173,Bloody exams next week,sadness
1174,Is working all weekend,sadness
1175,"Beer, garden, IPOD, Friday night, shame I've got to work tomorrow",sadness
1176,WHAT THE HELL IS GOING ON?!?! Last night and this morning SUCKED... More moving tonight.,sadness
1177,i need a jb but i dread the fact that it will have to be retail this summer,sadness
1178,Starting to get sad.,sadness
1179,Feel like death  evil headache and need to pack and drive to parents. Bum.,sadness
1180,i reaaally need you,sadness
1181,R.I.P. Sammie the Cat,sadness
1182,at home. have very sore feet. and am sad because the sale of my grandas house just went through. miss you,sadness
1183,In the middle of breakfast the school called.Yep...back to get Shey...AGAIN.3rd migraine this week or maybe one that never went away,sadness
1184,Damn...the right side of my earphones just stopped working all of a sudden. Now I need to buy new ones...,sadness
1185,ooh my icecream's gone  oh no wait i got another 2 boxes on the freezor! yumm,sadness
1186,"I have never had a Starbucks coffee in my entire life, people keep making me jealous",sadness
1187,I think Ive buggered up my mobile  ack. I am a stubborn arse and refuse to get a new one.,sadness
1188,Weekend is getting close. Too bad I'll be stuck up north  Hopefully I'll be able to get out next weekend for some real life fun.,sadness
1189,"Outside for just about 1 hour, the sun was bloody hot - no tan  Wait for monday then will spend around 2 hours outside ;)",happiness
1190,have to put my dog down tomorrow.,sadness
1191,My sunglasses broke,sadness
1192,"waiting for aaron to get into town, and then leave him for work. booo",sadness
1193,: why is it so cold!?!?!,sadness
1194,is becoming edgy bcause the lappy has not arrive yet,sadness
1195,"Another favorite local place bites the dust: Con Sabor Cubano, the place I go to for the most amazing Cuban sammiches, is closed",sadness
1196,Where is the boss... I'd like to have my check and leave please!,sadness
1197,We're not gonna be able to talk again,sadness
1198,michael scholfield is no more. He is dead. I am sorry,sadness
1199,had a good day but im now skint again,sadness
1200,"gross. it's hot, and there's cotton EVERYWHERE.. hello allergies.",sadness
1201,Thought she wuz my best friend...,sadness
1202,Is still tired  due to late nights out and work and has to b up early again 2moro 4 work bad times!,sadness
1203,"Oh well, there go my hopes for seamless transfer of blog  however I am now on track and will have it up and running sometime this eve",sadness
1204,Im so tired and sick  i have to be better on Sunday so i can sing morning and night,sadness
1205,going camping in a coupla hours. gotta pack everything... by myself,happiness
1206,BREAKING NEWS: The broiler at Burger King is down. There will be no burgers at Burger King at lunch!  At least Chicken Fries were there!,sadness
1207,Time flies...and i never got it all right. Why oh why?,sadness
1208,I am loving this sunshine and hating the thought of my office without windows,sadness
1209,Trying to shop online wis I could find sevens for 40.  haha,happiness
1210,i wish paramore would come to ireland,happiness
1211,10 more days to go for Freedom!!!!!! Damn these xams!!,happiness
1212,Selling my Bonnaroo ticket.  Can't get any time away from work. Anyone in the DC area interested? I can meet up!,sadness
1213,Oh My God ..  sad day ..,sadness
1214,Working late with only The House of Love for company. Just what I want to be doing on a summer evening when I should be out with people,sadness
1215,any other Mac users completely given up on Google Chrome?,sadness
1216,"so much for a day off- I've been on my feet, all over the place, all day!",sadness
1217,"Out if class!! Yow party + four hour lecture don't mix attal!! I had to drink 3 red bulls &amp; I'm still sleepy .,,,,smh! Alrite bedtime",happiness
1218,thirty minutes turned into three hours. oops,sadness
1219,YawNnnnn _slight headache n hangover grrr,sadness
1220,i miss the one who would do anything to spend 5 min with me... the one who used to say just tell me when and where,sadness
1221,G'night world. Vacations have to end some day.,sadness
1222,has a gym day and is hoping to enjoy the last Friday of her twenties.,sadness
1223,feels slightly better but damn i sure do miss him.....he's going to be so hard to get over......  i messed it up ...donuts=comfort,sadness
1224,"so bored at work, its ridiculous, and my Saturday is going to suck with class in the morning",sadness
1225,Hate being sick  especially when there's no one to pamper me,sadness
1226,Ugh. Going to skool,sadness
1227,im so fed up!!!...,happiness
1228,mcfonalds roulette i i lose. they forgot mygrilled snack wrap,sadness
1229,Playdate cancelled,sadness
1230,"PINKPOP weekend &amp; I've got NO tickets, meaning no BRUCE Springsteen  Oh well, it's WWWWWEEEEEEEEEEEEEEEKKKKKEEEENNNNDDDD!!!!!",sadness
1231,"never thought i'd say this, but i miss my 9-5 job, the commute, my cubicle, free food &amp; coffee and being downtown. why did i quit?",sadness
1232,aaaah taking back sunday are playing in new york 3 days after we leave,sadness
1233,I dont feel well  i got a dentist appointment later.,sadness
1234,Ugh soooo much work to do today while trying to make the 6:10 train to the game... looking like a 4-5 hour Sunday at the office.,sadness
1235,You know your neck is jacked up when you are forced to pay for parking bc you can't turn you head to parallel park in the free spaces...,sadness
1236,forgot to wish sister happy birthday yesterday.,sadness
1237,my parents sold my car.,sadness
1238,Day is going well so far. Meeting until 4 though.,happiness
1239,I miss you guys,sadness
1240,Goodbyes ... Hurt,sadness
1241,"My parents withdrew permission at the last moment, I am not going along with tomorrow's SAC trip to IDP camps  #Pakistan #IDPRelief",sadness
1242,studying for this bullshit econ test,anger
1243,enjoying the great sunshine.. from indoors.. I don't feel good today,sadness
1244,Still havent left the house yet. This is rediculous! REALLY!   S*D*P* &amp; T*K*K*,sadness
1245,"Boys are sitting down for photos, no touching and no handshakes allowed.  #asylm",sadness
1246,im still devastated about manchester united losing the UCL final,sadness
1247,Oh darn. Lost another follower.,sadness
1248,i woke up just now missing alabama terribly  my dad says we will be moving there. soon. thank god,sadness
1249,can't wait to november for Jobros concert ! In examination,happiness
1250,Why is it soooo cold &amp; ugly out??,sadness
1251,No more Wiffleball..  Damn.,sadness
1252,a female robin just flew into my window and I watched her die in my bushes...  i think i am going to cry now...,sadness
1253,has bronchitis and is on 3 prescriptions. No fun at all. Had to miss two days in a row of work.,sadness
1254,GrimeStopper loss  client lost their job so we did too. Hope the quote later today turns into more work. Drowned my sorrows w a huge h ...,sadness
1255,"Enjoyed this week off work, back next week",happiness
1256,The Oddo's grandfather passed away in his sleep,sadness
1257,doesn't get to see her fav5 today like planned,sadness
1258,I saw amazing heeels. But they were too big,sadness
1259,bout to go to work,sadness
1260,I watched wayyyy too much Beverly Hills 90210 today and I am not proud of that fact.  TV FAIL,sadness
1261,"I am soooo hungry. But waiting for bf to get home, he has car trouble and is waiting for the mechanic to help him...",sadness
1262,skype call with billie but my webcam dont work,sadness
1263,"Totally been too long since I updated.  Saw Star Trek, excellent!  Killed Yogg-Saron 10 man.  Memorial Day killed 25 man raids",happiness
1264,Last day of high school  i'm gonna miss all my friends,sadness
1265,Why didn't my favorite spotters last tweet go to my phone,sadness
1266,i'm still full from the buffet at palms.  my stomach actually hurts. ugh gluttony bites.,sadness
1267,"Planning to install Windows 7 tomorrow, so probably no new posts for another few days at least",happiness
1268,"Off to play Tennis at Bel Air, courts are wet  but, we will play anyway.",sadness
1269,charlies roastbeef: mostaza no manejamos. WTF?,sadness
1270,i was too slow to get $1 Up tix,sadness
1271,shit's depressing,sadness
1272,So...woke up in time just for work.....boo,sadness
1273,"Dang it! It seems that every time I blip a song, it's unavailable.",happiness
1274,Internet is painfully slow today,anger
1275,not at all happy...dont know what the reason is,sadness
1276,apparently you are not getting on anymore... sad,sadness
1277,I need to sit  my insides hurt ughhh,sadness
1278,argh! why why why,sadness
1279,possibly going out tonight; is there ANYTHING to do in Lancaster? I miss Baltimore,sadness
1280,Thinks its gonna rain,happiness
1281,"Rope witdrawal in full effect, no one to tie, no teaching, no demos, no one to play with. But worst of all - No one to play with!",sadness
1282,Rachael makes me want to cry,sadness
1283,not feeling well at all today! ugh cant I just go home.,sadness
1284,My eyes hurt.,sadness
1285,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",happiness
1286,has today off! But has to work tomorrow,sadness
1287,"being lazy the rain does that to me  gym&amp;&amp;tanning is possibe, work &amp;&amp; a small social gathering around tha corner",sadness
1288,Can't give blood within a year of getting a tattoo so I can't give...Im gutted,sadness
1289,my head huwwts,sadness
1290,I've been offered Fred on loan but I has no moniiieeeess...,sadness
1291,Is youtube not working properly for anyone else? I can't watch videos because they keep failing to load,sadness
1292,no luck in goin to forum.. im about the only person on earth not goin out,sadness
1293,Starving. And Alyssa's mom would bring her subway.,sadness
1294,At the doctors office woooo so much fun. Have to go back to wotk after this cant afford to be off.,happiness
1295,"i got a haircut, i felt like that guy on the &quot;Last Samuri&quot; who was forced to have his ponytail cut off.",sadness
1296,And it's gone.,sadness
1297,Im here at work super bored,sadness
1298,to cold for the beach  sucky.,sadness
1299,O.k i feel like i need to cry now  i can't believe that in less than 2 years ill be walking across the stage to get a High School diploma!,sadness
1300,So now we'll pay more in sales tax...great.  Even worse Mom and Pop businesses have to double what they pay in business licenses.,sadness
1301,Had quite a cool day with Charlie and then Ben aswell (: got lost and stung by nettles,happiness
1302,is stressin h-core. and is supposed to be cleaning her room. and feels like crap.,sadness
1303,back from lunch and it's pouring rain! ugh  ohh well at least it gets me into a Death Cab For Cutie mood!,sadness
1304,i feel super sick,sadness
1305,my head is bruised really bad :|,sadness
1306,I hate it when I am in pain,sadness
1307,I'm trying to find a pic for twitter but all that  ihave are too big or can't upload. So I shall remain faceless  lol,sadness
1308,Room is so empty,sadness
1309,"Man, my sinuses r really buggin me this morning",sadness
1310,"Had an interesting evening amongst homeless people in Venice Beach last night, wishing I had my camera with me........ and model releases",sadness
1311,This is California it has to be sunny... But its not ::::: makes me kinda sad,sadness
1312,oasis or ribena? toughest decision everrr,sadness
1313,Just got back from the concert! Some mistakes... I kinda failed my Macedonian test  But my relatives from Serbia are here! WooHoo!!!,happiness
1314,"Whew, the first night and day of summer were.....very sad  But, I have Jess's grad party to go to tonight!!!",happiness
1315,Just watched the &quot;Final Break&quot; final prison break episode. It was great. Farewell Prison Break. You will be dearly missed.,happiness
1316,"When i say &quot;we close at 6&quot;, it does not mean &quot;come in at 6&quot;. Ffs people. Also RIP Polly",sadness
1317,Burnt Agenn  Nice Day Tho  xxx,happiness
1318,Shoot. Only 12 miles,sadness
1319,MOtherfuck QW,anger
1320,The girl across the hall says her cat got out when the landlord was showing her apt.  so heartbreaking,sadness
1321,"Feeling bad for my little sister. Put a lot of money into her Saab, took full coverage off it last week, and totalled it yesterday",sadness
1322,trying to spending time away from the reality....broke my heart again,sadness
1323,Oh no! Poor bears  i just had a nightmare i wrestled a huge snake and won,sadness
1324,"i want my ben and jerrys now lol, TWEET PEOPLE im bored",sadness
1325,not feelin 2day,sadness
1326,"Going to an engagement party tommorrow night - it should be mine, but its NOT!  Stepping off the soapbox.",sadness
1327,feeling rather peckish...no dinner for at least 2 hours  wah,sadness
1328,On my way to lake geneva and I miss my laura,sadness
1329,"going out tonight, FINALLY. i wanty lie in the park but... cinema bound it looks",happiness
1330,Nothing like waking up slow in the morning. Docs appt today.,sadness
1331,"went and got a pedicure and a manicure 2daii!!!! and den sunbathed all daii!!!! BEST DAY EVA!!!!! oh yeh,....did a teeny bit of study",happiness
1332,It went really well! But the vid didnt work.  im sad,sadness
1333,missed my friggin hair appt!!!,sadness
1334,"hillsong tom. night, and dad's birthday! i wish i could see him on his bday though.",sadness
1335,Just got back from the doctor... I don't need surgery yayyy!!!!!! But my knees are still fucked  not gonna get better,happiness
1336,just done planting the garden...hope sun will shine soon!,happiness
1337,I hate taking lily to the doc to get shots. It makes me super sad,sadness
1338,"WOW, got killed on first wave of Horde on Gears. FAIL",sadness
1339,"just got back from NOM NOM's at our favourite restaurant here in Haarlem. I'm sad, I will miss eating there, the food is INCREDIBLE",sadness
1340,almost done with my first day at the spa...I missed this place! Then headed to Fort Collins to close down casa de kent,happiness
1341,I worked at a car plant once..nobody believes me though. I repect all the hard workin folks in the world.,sadness
1342,i have runny nose... i can't breathe.. terrible feeling...,sadness
1343,"Its sooooooooo not funny when I have to move from computer to computer to render and draw. Come on, Revit! AutoCAD was never this bad.",sadness
1344,currently playing... part of the list,happiness
1345,My peeps is coming from chi*twn today for the weekend to hang w me and i dont have any time  always workin!,sadness
1346,Bored and lonely at work,sadness
1347,The stratus is going bye bye today  i loved that car in high school #fb,sadness
1348,LA unified summer schools drastically cut due to CA budget  cuts. Very sad,sadness
1349,"Good am all..: hanging out with ma dad 2day, looking for a job still..",happiness
1350,"hates everything about seafood..esp smell! just so happened to serve lobster in the chow hall... noooowww, I gotta headache.. ugh! smh...",sadness
1351,Very bad things.......I need to stop thinking!,anger
1352,"Have ordered the cuuutest invitations for my new nieceï¿½s Christening, and they just arrived back in SA.  Sorry that I wont make it myself",happiness
1353,"OK, home made pizza tonight, but horrors, I've run out of anchovies",sadness
1354,"Wearing exactly the same clothes as I used to wear in Canada, beanie (or touque) and all.  Ahh brings back memories... I miss the snow",happiness
1355,"this evening,picking up n'pop and go for dinner at Ta Lum Tum Tum (som-tum),Major Avenue..decided to go home(not clubing tonite)..",sadness
1356,My first car is offically gone.  good bye my turquoise topaz. You will be missed greatly.,sadness
1357,Bushidokan class got canceled.   I'll just have to sign up for karate someplace else!!,sadness
1358,this day cant go by any slower,sadness
1359,"about to head to Starbucks. was gonna take the bus to Paradise and Starbucks, but missed it by 2 minutes.",sadness
1360,The &quot;Catch Me If You Can&quot; DVD that I rented from Blockbuster.com yesterday was cracked. Figured it out about 35 minutes into the movie.,anger
1361,Hi ho its off to work i go again,sadness
1362,My poor poor mouth,sadness
1363,"going to work at one sucks, I miss happy hour at sonic",sadness
1364,wat a stressful week i jus hope everything falls into place 4me,sadness
1365,"piecing a photo quilt for Boeing employees to be hung in Huntington Beach. Sadly, many people in the quilt pics are now laid off.",sadness
1366,i feel some type of way cause im not talkin to anyone...,sadness
1367,I think I'm gonna try to go vegetarian again....and no soda and majorly cutback on beer...too many carbs....but its so yummyyy,sadness
1368,hi guys just doing da usael notmuch really! &lt;3 sad me,sadness
1369,needs more followers,sadness
1370,Grr...Fatboy Slim is out of the EDC Lineup.,sadness
1371,i have a empty house and no ine to share it with,sadness
1372,In checkout line...kate &amp; jon splashed all over us weekly. sad,sadness
1373,"I need some motivation in my life, oh and some love would be nice too",sadness
1374,bye bye South Beach....u never let me down,sadness
1375,Well that's the last of the Fabs gone,sadness
1376,*eekkk* back to work,sadness
1377,I want to hang out and play!  But I can't.  Fiddle Faddle on my workload!,sadness
1378,"Gosh I miss singer's theater.  I miss learning music, doing acting exercises, n I ESPECIALLY miss being onstage.",sadness
1379,It's gonna suck being the only sober one tonight,sadness
1380,HR says ca is taking more tax out of my checks.,sadness
1381,is enjoying the nice weather but has been stuck indoors writing an essay for most of it,happiness
1382,"hate working when its sunny,boohoo",sadness
1383,"No running for the past couple of days due to bad knee   Still, Guitar Hero Metallica arrived and has kept me amused...Time to ROCK!!!",sadness
1384,i want so bad to go to the mcfly's concert,sadness
1385,why nobody write with me ? !,sadness
1386,#hollyoaks .... The curse of justin strikes again.... Date the burton and end up screwed  poor sod,sadness
1387,Oh no! I used my internal sig for an external e-mail  damn. #fb,sadness
1388,I need to stop being sick.,sadness
1389,ah remember the days when you'd sleep in until noon? well guess who did that today? god i feel like a loser,sadness
1390,got caught in the rain outside. now im cold bbbrrr,sadness
1391,goodbye picnic for a classmate today  but the weather was fucking beautifuul!!!,sadness
1392,School Over!!! I'm gonna miss a bunch of people,sadness
1393,My car is home. Yay! $613.22 Boo!  I'm paying my mom in installments. I gave her $200 today. I so need to win the lottery. :\,happiness
1394,"I've got sunburn on my arm  In better news, my new Guitar Hero: Metallica game came and I beyond happy about that.",sadness
1395,i hella wanted a sausage mcmuffin but when i gt there breakfast was over,anger
1396,OMG i just realised while listening to &quot;perfect story&quot; penny liked dr horrible!!! damn you captain hammer!  omg im so sad now!,sadness
1397,"Schools out, but works in",sadness
1398,Last business day of the month is the wrong time to get new tags. About 45 people,sadness
1399,Heading to work - on my Friday off.,sadness
1400,Is on the couch hungover--don't expect much out of me today,sadness
1401,Flash lost my frisby on a roof. Sad days LOL,sadness
1402,i'm still here in the office...and the sun is shining,sadness
1403,oh my gosh!!! hollyoaks was so sad tonite,sadness
1404,Way to many people were crying at the school picnic and now I have to decide if I want to go back or go to public. I'm confused and sad,sadness
1405,i bit my tongue sooo bad...it's swollen.,sadness
1406,mcfly anit been on here in ages  z,sadness
1407,Working during graduation. What a shame.,sadness
1408,"SPGridView is looking prettier, but I'm pretty sure my code is very ugly.",sadness
1409,is feeling the effects of spring. My sinuses are killing me,sadness
1410,Soo sad my McMcBuddy thinks I look like I could have a little rainbow  ... I like burritos ok! BURRITOS!!!,sadness
1411,No one loves me  Brittany forgot my flowers...,sadness
1412,really not feelin well...,sadness
1413,i think june gloom has arrived,sadness
1414,some advice for all of you: dont pressure wash your foot. it hurts and is not worth it. you really do want the skin on your foot. FYI. ow,sadness
1415,Can today go any slower? Time is just dragging by.,sadness
1416,"Urghh, I'm gonna do my project now  don't wanna waste valuable weekend time",sadness
1417,"So has anyone had that yucky new throwback pepsi and mountain dew yet? If they plan on keeping it around, I will not be drinking it!",sadness
1418,is sad because his tea and oatmeal are cold,sadness
1419,Finished new moon! Woo! Now i want the next one...,happiness
1420,Been sitting in garden with my mummy and also got a text from the boy who i thought had GOT THE HINT    obviously not.,happiness
1421,Im sad right now becuz of my lady,sadness
1422,wants to goto lonovala for frenz wedding....bt....no transport arrngmnts wrkg out,sadness
1423,So much for buying that awesome new phone from sony ericsson  - I am now Berry'd like everyone else...,happiness
1424,Running around town with Kathleen....she's leaving me for a month..,sadness
1425,its impossible to watch in full ANY flash video with my mac after 5.7,sadness
1426,such.a.tease.,happiness
1427,Dollhouse was saved!!! Its coming back for another season!!! Too bad scrubs isn't,happiness
1428,watching the final episode of boys before flowers,sadness
1429,is pumped and bummed all at the same time.......,sadness
1430,Tonight the last night of Jay Leno!!!  am gonna cry like a baby!!,sadness
1431,Sad! Casue everyone is going their seperate ways! Never going to see my friends again!,sadness
1432,I wish it would rain...but it won't,sadness
1433,Really sick,sadness
1434,Hes just not that into you,sadness
1435,is soooo hungry right now! Why is it not lunch time!,sadness
1436,At pool in Orlando got new kicks  going to seaworld tommrow miss my best friend,sadness
1437,Being bored is always so much more fun with a companion. Missing my bff alreadyyyy!!!!,sadness
1438,i made an okay rap mix   i couldnt have the stuff i wanted  im getting ready to leave,sadness
1439,jus skinned my knee. Wat am i 6!?!?! Hurts lyke hell tho. Its always tha little ones that hurt tha most.,sadness
1440,I am so sad... How come Pooch Hall from The Game has not accepted my friend request on Facebook Yet,sadness
1441,"3 live p2v migrates, 5 vmware vsp exams, and a magento config, a quiet weekend at party central",happiness
1442,"I woke up an came to the realization that I can put it off as much as I want, but I need 2 drop some friends. Dammit!",sadness
1443,my life is sad..just had reminder go off on my phone to recharge toothbrush!,sadness
1444,Now I'm depressed again..ugh!!! HELP!!!,sadness
1445,not looking forward to driving in this storm.,sadness
1446,i don't like being sick when the guidance counsellor is supposed to take me + 35 other kids out of school for bowling &amp; pizza,sadness
1447,shit back home in tallcree (rez)  now i cant see my boyfriend,sadness
1448,I just cried whilst watching hollyoaks  .. i need a life! lol,sadness
1449,1 week and 1 one day to go.,happiness
1450,whew how did i end up going from mugglespace apps to youtube??? haha its just one of those days i guess. i really hate being ill,sadness
1451,Ready for this saddenning depressing dullful upsetting dreadful weekend.,sadness
1452,Doing dishes...i miss my kitchen team,sadness
1453,waaa the octo drive and i can't go for it,sadness
1454,ah shit ... my chest hurts now,sadness
1455,RAIN why must you come &quot;after&quot; I flat iron my hair? I have been rockin my curls for 3 weeks and today you decide to come out. not nice!,sadness
1456,ii wanna go home for thee weekend  but ii have no gas. sukks (_!_)!!,sadness
1457,so fuckin tired. didn't get home till 5:30. work at bjs at 12:15,sadness
1458,"im sooo sore... my back hurts, my legs are weak, and im dehydrated. i have to go set up my moms furniture... gay!!!!",sadness
1459,Got to go shopping with wife down to Tesco's. I knew my day was going to well.,happiness
1460,Rose City Sirens were uber cool last night!  Wish I could have stayed longer,sadness
1461,stood on my curlers and burnt myself  then burnt my hand when i picked them up..,sadness
1462,Is wondering what happened to the sun? Damn May grey!,sadness
1463,"Im feeling so nostalgic. Im sad. But happy. I don't now how to feel. It's over, but not at the same time. It just feels over.  i love you.",sadness
1464,fuming over ebay purchase gone bad. outta $45 and have nothing to show for it  %$&amp;!,sadness
1465,is doing nothing  lol,sadness
1466,I wish the sun would shine. but it won't,sadness
1467,Cried my eyes out watching My Girl last period   hahah,sadness
1468,i'm hungry but can't eat anything right now because my tongue hurts so bad.,sadness
1469,Hey guys I'm back from work.. It was kinda horrible,sadness
1470,aww my friend just called and said that she got a better job so she won't be working with me anymore,sadness
1471,Leaving SF soon. I just might cry.,sadness
1472,"I need a restful weekend, but I will have to work instead",sadness
1473,ok so everyone is out an im stuck in bored and ill,sadness
1474,"the downside of getting TDL 3 days early is that i won't have time to read it til next week anyway!  but still, hurrah *clutches it close*",sadness
1475,What a glorious week. My best holiday ever I think. I so don't want to go home in the morning,happiness
1476,"In school ; With Victoria &amp; Bryan (: _ no more school soon, sadd i am",sadness
1477,Got a right bad headache,sadness
1478,Oh why does one of my monitors have to act up when I have a deadline?  Oh I'm an unhappy camper.,sadness
1479,Just got home from work.. My feet are killing me,sadness
1480,in less then a min i lost 2 followers,sadness
1481,Nothing like getting to work and finding out you have to cover extra shifts this week... looks like another 40 hr work week.,sadness
1482,doesn't wanna get dressed up and be an adult today.,sadness
