text,affect,sentiment
"No, those first two windows,  that's the lobby.",neutral,neutral
"And y'know the other one over there, that's the stairway.",neutral,neutral
You've been counting wrong.,neutral,neutral
I did,anger,negative
"Monica, betting the apartment, I don't know about this.",fear,negative
"Rachel, I have not missed one question the whole game. I own this game! Look at my hand.",joy,positive
Why? Do you have the answers written on there?,surprise,positive
"No! Steady as a rock! Now, are you with me.",neutral,neutral
"All right, let's do it.",fear,negative
"All right, gentlemen, you're up first.",neutral,neutral
Okay.,neutral,neutral
Okay.,neutral,neutral
You have 30 seconds. And the lightning round beginsstop it now. What was Monica's nickname when she was a field hockey goalie?,neutral,neutral
Big fat goalie.,neutral,neutral
Correct. Rachel claims,neutral,neutral
Dangerous Liaisons,neutral,neutral
Correct. Her actual favorite movie is...,neutral,neutral
Weekend at Bernie's,neutral,neutral
"Well, look, why don't you just, why don't you do your Phase Two strip club thing with us.",neutral,neutral
"Yeah, come on, we can be guys!",joy,positive
No you can't.,joy,positive
"You don't want to be guys, you'd be all hairy and wouldn't live as long.",disgust,negative
"Y'know you, you just stop being such a wuss and get those off and you come with us and watch naked girls dance around!!",anger,negative
Okay.,neutral,neutral
I'm sorry.,sadness,negative
"And y'know what, I just realised, in the last year I've only gone out with two guys, Richard and Julio.",surprise,negative
"You gotta help me out here, you gotta set me up, you gotta get me back in the game.",fear,negative
"Well, that shouldn't be a problem. I mean I work in fashion and all I meet are eligible straight men.",neutral,neutral
"Pete, can I get you something else?",neutral,neutral
"Yeah, a slice of cheesecake and-and a date if you're given' em out.",neutral,neutral
Haven't you and I covered that topic?,neutral,neutral
"Hmm, come on, you just said to her that you.",neutral,neutral
"Aww, the only reason you want to go out with me because my blond wig, and the big boobs, and the fact that I serve you food.",joy,positive
"Well, if that were true, I'd dating my Aunt Ruth.",joy,positive
And the two times we went out were just plain awkward.,disgust,negative
"Come on, you think she should go out with me, don't you?",neutral,neutral
"Well, I mean, are you sure you want to go out with her?",neutral,neutral
"I mean that ain't a pretty picture in the morning, y'know what I mean.",disgust,negative
"That wig all in disarray, and boobs flung over the night stand, y'know.",disgust,negative
"I mean really, think about it.",neutral,neutral
"Ho-ho, I will.",neutral,neutral
I believe I read that somewhere!,surprise,positive
"That only is not funny, it's physically impossible!",anger,negative
Okay?,anger,negative
Depending    on the species I'd have to have a six foot long...,anger,negative
It's not funny!,anger,negative
I respectfully disagree.,neutral,neutral
I can't believe you put that on my alumni page!,anger,negative
Who cares? Nobody reads those things,neutral,neutral
You'd better hope not because I just read what you put on your    page today.,anger,negative
I don't have a page.,neutral,neutral
Oh oh oh! I RESPECTFULLY DISAGREE!!,anger,negative
I know I miss you too. I can't wait to see you. I love you. Bye.,joy,positive
"Okay, what is in here? Rocks?",surprise,negative
"No-no, this is my collection of fossil samples.",neutral,neutral
"So, rocks.",disgust,negative
"I'm really gonna miss this apartment. Y'know, Ben-Ben took his first steps right over there.",sadness,negative
"Ohh. Hey, remember when I ran into this thing  and it kinda knocked me out a little?",joy,positive
"I loved this place! To tell you the truth, I wish I didn't have to move.",joy,positive
"Uhh, are you saying that you're not entirely happy about this?",surprise,negative
"Well, I mean if uh, if Emily gave me a choice",sadness,negative
You,neutral,neutral
Why?,neutral,neutral
"Hey, you guys! Look what I found in the giiiiiiift shop.  Get up! Get up! Get up!",joy,positive
"I left a bra drying on the shower rod, you don't think your son will think it's yours and be horribly traumatised?",joy,positive
"Hey, if mommy can have a wife, daddy can have a bra.",neutral,neutral
"Ohh, it's time to go.",neutral,neutral
"Oh, no-no-no, see, that-that clock's a little fast, uh, we have 17 minutes.",neutral,neutral
"Huh, what can we do in 17 minutes?",neutral,neutral
Twice?,neutral,neutral
Well that's ambitious.,neutral,neutral
"Hey, uh, you can ignore that.",neutral,neutral
That's Carol with your son!,surprise,positive
"Morning's here! Sunshine is here! The sky is clear, the morning's here! The morning's here!",joy,positive
HEY!! Do you,anger,negative
Oh come on! Morning's here!  Morning's here! The morning is here! Sunshine is here!,joy,positive
I,neutral,neutral
Are you kidding? I love that guy!  Morning's here! Morning is here,joy,positive
Stop it! I will kill you. I hate the fact that my room is so small.,anger,negative
"Hey, I have all the space I need. Just do what I did.",neutral,neutral
"Monica, you don't even have a bed, you sleep in a ball on the floor!",anger,negative
Y'know what? I am,neutral,neutral
I'm sorry. I'm so sorry.,sadness,negative
Okay.,neutral,neutral
"See, this is a",neutral,neutral
Shut up! This place is a hole!,anger,negative
"All right buddy, time to roll over.",neutral,neutral
No-no!,fear,negative
"No, no-n-n-n-no!!",fear,negative
You are going to a clinic!,disgust,negative
"You're going to a clinic, and a pyjama store!",disgust,negative
Are you under the sheet?,neutral,neutral
Yes.,neutral,neutral
"Great, let's begin.  How's the pressure?",joy,positive
Nice! Wow Phoebe you are good!,joy,positive
"Stating the obvious, but thank you. And it's not weird is it.",joy,positive
No. Ooohh,joy,positive
"That's right, you just enjoy.",neutral,neutral
Oh. Oh yeah! Ohhhhh! Ohh! Oh yeah!,joy,positive
Okay.,neutral,neutral
Oh God Phoebe!!  Oh that's it! That's it! Right there! Oh!  Ooooh-oooh-ooooh,joy,positive
Become a drama critic!,joy,positive
I am hurt!  A plague on both your houses!,sadness,negative
"By the way, he dumped me tonight after he read my review.",sadness,negative
"Oh, classy.",disgust,negative
"Yep! I sure know how to pick em, huh? Y'know I gave up a part on a soap for this!",sadness,negative
"Wow! Yeah I ah, I gave up a job too.",anger,negative
Really. What?,surprise,negative
"Uh, de-clawing cats.",anger,negative
"Hey, tell ya what.",neutral,neutral
Let me walk you home.,neutral,neutral
We'll stop by every news stand and burn every copy of their Times and the Post.,anger,negative
Why the Post?,surprise,negative
"Oh, you didn't see the Post?",surprise,negative
No. You?,neutral,neutral
No. Why?,neutral,neutral
Hi Joey! What are you doing here?,joy,positive
"Uhh, well I've got an audition down the street and I spilled sauce all over the front of my shirt.  You got an extra one?",neutral,neutral
"Yeah, sure. Ummhere.",neutral,neutral
Great.  You got anything that's not,disgust,negative
"Yeah, I don't think so Joe.",neutral,neutral
"All right, I guess this will be fine.",neutral,neutral
"Hey, listen umm, what-what are you doing tonight?",neutral,neutral
"Nothing, why?",neutral,neutral
How would you feel about taking out my assistant Tag? I'll pay.,neutral,neutral
"Huh, Rach I got to say it's gonna take a lot of money for me to go out on a date with a dude.",disgust,negative
I'm not asking you to go on a,neutral,neutral
Really? Cause I could kinda use the money.,surprise,negative
"Joey, just-just he-he's new in town and I know he doesn't have any guy friends.",neutral,neutral
Just take him to like a ball game or something.,neutral,neutral
I'll really appreciate it.,neutral,neutral
"Yeah, okay.",neutral,neutral
Yeah?,surprise,positive
"Sure, no problem.  OohHey, donuts!",joy,positive
"Problem odour in the litter box? Don't change your kitty, change your kitty litter.",neutral,neutral
"Sorry, Pheebs.",sadness,negative
Yeah. You okay?,neutral,neutral
"No! Sorry, I just thought you were somebody else. Hi!",surprise,positive
"Hi. Well, look, I was just gonna leave a message, isn't tonight your, your big anniversary dinner?",neutral,neutral
"Yeah. Well, umm.....",sadness,negative
"Rach, are you okay?",surprise,negative
"Yeah, I'm fine.",sadness,negative
"You wanna talk, I mean I can come over?",neutral,neutral
"No! Really, no, please, please, that's, that's okay.",sadness,negative
"All right, all right, I'm coming over, and I'm bringing Chinese food.",neutral,neutral
"Oh, yeah, I'm not, I'm not hungry.",sadness,negative
It's for me.,neutral,neutral
"Oh. Okay, bye.",neutral,neutral
"Come on, pick up, pick up!",fear,negative
Hello?,neutral,neutral
Transit Authority?,neutral,neutral
"Yes, hello.",neutral,neutral
"I'm doing research for a book, and I was wondering what someone might do if they left a baby on a city bus.",neutral,neutral
"Hi, here's the deal.",neutral,neutral
We lost a carseat on a bus today.,neutral,neutral
"It's white plastic, with a handle, and it fits onto a stroller.",neutral,neutral
"Oh, and there was a baby in it.",neutral,neutral
He wants to talk to you again.,neutral,neutral
Hello.,neutral,neutral
I'm sorry I'm a little late.,neutral,neutral
Whoa,surprise,positive
"Let me start by uh, by introducing myself, I am Professor Geller.",neutral,neutral
"So to sum up, I'm Professor Geller.",neutral,neutral
"Good evening, sir.",neutral,neutral
My name is Ross Geller.,neutral,neutral
I'm one of the people who applied for the apartment.,neutral,neutral
And I-I realize that the competition is fierce butI'm sorry.,neutral,neutral
"I, I can't help but notice you're naked and  I applaud you.",joy,positive
"Man, I wish I was naked.",neutral,neutral
"I mean, this-this looks so great.",joy,positive
That is how God intended it.,neutral,neutral
"Okay, I have to tell you something that I have never admitted during our entire friendship!",anger,negative
"But, when we were in high school I made out with James Farrell even when I knew that you liked him!",anger,negative
"Wow, that feels so good to get off my chest!",joy,positive
"Okay, you go!",anger,negative
My turn? What-what are you talking about?,surprise,positive
"Ugh, Monica, I know about you and Chandler.",disgust,negative
What?!,surprise,negative
"I overheard you guys on the phone the other day, and you said, ""I'll just tell Rachel that I'm doing laundry for a couple of hours.""",neutral,neutral
"And he said, ""Laundry?",neutral,neutral
Is,neutral,neutral
Well. Sounds like you're writing yourself a little play there Rach. Wow! Let me know how that one turns out.,joy,positive
"Well, I wouldn't know because I got so freaked out that I hung up the phone.",anger,negative
"Well, if you had kept listening, you-you would have heard me call him Mr. Bigot.",neutral,neutral
What?!,surprise,negative
Mr. Bigot. He tells the most,neutral,neutral
All right. So you're telling me that there is nothing going on between you and Chandler.,anger,negative
Me and Chandler?!,surprise,positive
"I really thought you making a good point. I mean y'know, until you got cut off.",neutral,neutral
"Yeah, what's up with that girl Monica?",neutral,neutral
I don't know! I didn't come with her!,anger,negative
All right everybody! Everybody guess what? I just convinced Paul to give us a test next week!,joy,positive
A test?!!,surprise,negative
Come on! Tests make us all better learners! Oh yeah!  We should have essay questions!!,joy,positive
"Okay I've got one for you, if you had too which one would you rather eat, a seeing eye dog or a talking gorilla?",neutral,neutral
"I'd have to saythe talking gorilla, because at least I can explain to him that you're making me eat him.",neutral,neutral
Somebody went to college. Wow.  What is it? I'm sorry.,surprise,negative
"Okay, I hear you loud and clear. Bob will stay put.",neutral,neutral
I think it's best sir.,neutral,neutral
But we really do need to find someone up here.,neutral,neutral
The work is starting to pile up.,neutral,neutral
I've got a stack of documents on my desk this high.,neutral,neutral
"Y'know what you should do, just toss em in the shedder and claim you never got em.",neutral,neutral
That's a good one.,neutral,neutral
What does a guy have to,neutral,neutral
"Yeah, yeah, everybody's here. Hey, everybody, say hi to Julie in New Mexico.",neutral,neutral
"Hi, Julie!",joy,positive
Isn't there a national football league.,neutral,neutral
"Yes. Yes, there is, they play on Sundays and Monday nights.",neutral,neutral
Oh shoot! I work Monday nights.,sadness,negative
"Umm, this stuffing is amazing. Do you think we should bring them some?",joy,positive
"When they're hungry enough, they'll come in.",neutral,neutral
"Hey Joey, you wanted to talk to me?",neutral,neutral
"I don't know. You uh, you got something for me?",neutral,neutral
"Oh, yeah, this is from Rachel.",neutral,neutral
Ten. Okay. Now Tag there's such a thing as too many women.,neutral,neutral
Really?,surprise,positive
"Yeah, for you!",joy,positive
"Oh, Danielle! I wasn't expecting the machine... Give me a call when you get a chance.  Bye-bye.  Oh God!",surprise,negative
That's,neutral,neutral
"Hey, I've been honing!",anger,negative
What was with the dishes?,neutral,neutral
"Oh, uh..",fear,negative
I want her to think I might be in a restaurant.. y'know?,fear,negative
"I might have some kind of life, like I haven't been sitting around here honing for the past few hours.",anger,negative
"Look look! He's doing it again, the guy with the telescope!",surprise,negative
Oh my God!  Go away!  Stop looking in here!,anger,negative
"Great, now he's waving back.",disgust,negative
"Man, we gotta do something about that guy.",disgust,negative
"This morning, I caught him looking into our apartment.",disgust,negative
It creeps me out!,anger,negative
I feel like I can't do stuff!,anger,negative
What kinda stuff?,joy,positive
"Will you grow up? I'm not talking about sexy stuff, but, like, when I'm cooking naked.",disgust,negative
You cook naked?,surprise,positive
"Yeah, toast, oatmeal... nothing that spatters.",neutral,neutral
What are you looking at me for? I didn't know that.,surprise,negative
Y'know they say a watched pot never beeps.,neutral,neutral
"It's just y'know, been a couple of hours, and she hasn't called. Not that I even care, y'know.",sadness,negative
Phoebe why don't you just call her? You obviously want to.,neutral,neutral
You think you know me so well.,anger,negative
"Well, don't cha wanna?",neutral,neutral
Yeah.,neutral,neutral
"Okay, well I do know you.",neutral,neutral
That's what I said.,neutral,neutral
Well so?,neutral,neutral
I can't.,sadness,negative
I can't.,sadness,negative
"She dumped me, I mean I totally trusted her and then one day it was Okay, bye Pheebs' gone.",sadness,negative
"Y'know what the saddest part is, when we were playing together, that was like the most fun I've ever had in like all my lives.",sadness,negative
"Ok, bye.  Well, Monica's not coming, it's just gonna be me and Rachel.",neutral,neutral
"Oh. Well, hold on camper, are you sure you've thought this thing through?",neutral,neutral
It's laundry. The thinking through is minimal.,neutral,neutral
"It's just you and Rachel, just the two of you? This is a date. You're going on a date.",joy,positive
Nuh-uh.,fear,negative
Yuh-huh.,joy,positive
"So what're you saying here? I should shave again, pick up some wine, what?",surprise,negative
"Well, you may wanna rethink the dirty underwear.",disgust,negative
This is basically the first time she's gonna see your underwearyou want it to be dirty?,surprise,negative
No.,neutral,neutral
"Oh, and uh, the fabric softener?",neutral,neutral
"Ok, ok, now what is wrong with my",anger,negative
"Ok, so it's just because it was my table, I have to buy a new one?",anger,negative
That's the rule.,neutral,neutral
"What rule? There's no rule, if anything, you owe me a table!",anger,negative
How'd you get to that?,anger,negative
"Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio",anger,negative
You knew about that?,surprise,positive
"Well, let's just say the impressions you made in the butter left little to the imagination.",disgust,negative
"Ok, ok, How about if we split it?",neutral,neutral
"What do you mean, like, buy it together?",neutral,neutral
Yeah,neutral,neutral
You think we're ready for something like that?,neutral,neutral
Why not?,neutral,neutral
"Well, it's a pretty big commitment, I mean, what if one of us wants to move out?",neutral,neutral
"Why, are you moving out?",surprise,negative
I'm not moving out.,neutral,neutral
You'd tell me if you were moving out right,fear,negative
"Yeah, yeah, it's just that with my last roommate Kip...",neutral,neutral
"Aw, I know all about Kip!",anger,negative
"It's just that we bought a hibachi together, and then he ran off and got married, and things got pretty ugly.",anger,negative
"Well, let me ask you something, was Kip a better roommate than me?",sadness,negative
"Aw, don't do that",sadness,negative
"Ooh, oh no! I have to go! I have a massage appointment.",sadness,negative
"Oh no, stay here we'll keep doing this. I'll pay you.",neutral,neutral
"No, I got in trouble for that before. I'll see you later.",neutral,neutral
Absolutely.  I love the way you kiss.,joy,positive
Oh my God! Oh my God! I'm so sorry!,fear,negative
"Aw forget it, it's from",neutral,neutral
You think you can knock up my daughter and then not marry her?! I'm gonna kill you!!,anger,negative
Y'know this is actually not a great time for me.,sadness,negative
"Okay! So, we'll just stay married.",joy,positive
"Yes, exactly!",joy,positive
And I will make everyone call me Mrs. Geller!,joy,positive
"Wow! This is so amazing. I uh, I really thought I'd have to talk you into this more.",joy,positive
What-wh-what so we'll just stay married forever?!,surprise,negative
"Okay, look, how is this gonna affect you?",neutral,neutral
Really?,anger,negative
I mean you fill some form out once and a while and instead of checking the box that says Ms you check the box that says Mrs.!,joy,positive
It's,neutral,neutral
"Ohh, okay, I'm sorry.",sadness,negative
You're right.,neutral,neutral
Y'know what?,neutral,neutral
I'm asking you to do me a favor.,neutral,neutral
You are asking me to be your wife!,anger,negative
And as my wife I think you should grant me this favor.,neutral,neutral
Oh my God!,surprise,negative
"I know, I know, I'm such an idiot.",joy,positive
"My brother's going through that right now, he's such a mess. How did you get through it?",neutral,neutral
"Well, you might try accidentally breaking something valuable of hers, say her-",neutral,neutral
-leg?,neutral,neutral
"That's one way! Me, I- I went for the watch.",neutral,neutral
You actually broke her watch?,surprise,positive
"Barry, I'm sorry...",sadness,negative
I am so sorry...,sadness,negative
"I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...",sadness,negative
"No real-, honey, really it's fine, just g-go with Susan.",neutral,neutral
"Really, I, no, I think girls night out is a great idea.",joy,positive
"Okay, okay, bye",neutral,neutral
So what are they doing?,neutral,neutral
"I don't know, something girlie.",joy,positive
"Hey, you're early.",neutral,neutral
What are you doing with the lamp?,surprise,positive
I'm just taking it to be re-wired.,neutral,neutral
"Oh, well don't take it to the same place you took the stereo, cause they've had that thing for over a week.",disgust,negative
"No, no, Mr. Heckles no one is making any noise up here.",neutral,neutral
You're disturbing my oboe practice.,anger,negative
You don't play the oboe!,anger,negative
I could play the oboe!,anger,negative
Ohhh! That is soo sweet!,joy,positive
"Okay, okay look, I know I'm being Mr. Inappropriate today, but it's just so tough, I mean see you walking around and I just wanna touch you and hold you, come on no one's around, just, just kiss me.",joy,positive
"All right that's, that's it!! Get off her!",anger,negative
What is going on?,surprise,negative
What's going on?!  That's what's going on!!,anger,negative
Ross!,surprise,negative
I have been down in your store for twenty minutes trying to get a tie!,anger,negative
What do I have to do to get some service?!,anger,negative
Hi Rach.,neutral,neutral
Ross?,neutral,neutral
Yeah?,neutral,neutral
Hey it's Mona! From the wedding.,joy,positive
Oh hi!,joy,positive
Hi!,joy,positive
Wow! Uhhow are you?,surprise,positive
"I'm good except umm, you still owe me a dance.",neutral,neutral
"Oh that's right. Well uh, would you be interested in seeing a Ukrainian film?",joy,positive
Oh you're serious. Sure!,surprise,positive
Great! Well umm,joy,positive
I think I might need one more cup of coffee.,neutral,neutral
"Sure! Uh, let me get it for ya.",neutral,neutral
Okay.,neutral,neutral
"Look, I feel really bad about how I freaked you out before, so I called the father and asked him to meet you here so you can tell him.",sadness,negative
Go!,anger,negative
"What? Hey wait a minute! Phoebe, how do you even know who the father is?",surprise,negative
"I may play the fool at times, but I'm a little more than a pretty blond girl with an ass that won't quit.",anger,negative
I believe this belongs to the father of your baby.,neutral,neutral
"Oh God Oh, he's in there right now?",surprise,negative
Uh-huh. Now you can turn around or you can go in there and rip the Band-Aid off. What to you want to do?,neutral,neutral
"Uh, let's rip!",fear,negative
Really? Are you sure?,surprise,negative
Oh Phoebe!,joy,positive
"Okay, sorry. Yeah.",neutral,neutral
Hey Rach.,neutral,neutral
"Hey, thank you so much for these tickets, Chandler.",joy,positive
"Oh well, this was a really important experience for me, and    I wanted to share it with you.",joy,positive
"Oh, you're so wonderful.",joy,positive
"It can’t be me, I’m standing right here.",neutral,neutral
Wanna peek?,neutral,neutral
No!,disgust,negative
Come on!,surprise,positive
We’re not peeking?,sadness,negative
Well I’m peeking.  Oh my God!,surprise,negative
"Hello sir, you know Monica.",neutral,neutral
Chandler is fantastic!!,joy,positive
What?!,surprise,positive
Y'know how people just click?,joy,positive
"Like he came by to pick me up, and I opened the door, and it was just like, click!",joy,positive
Did he tell you?,surprise,positive
"Oh, and he's got such a good heart! Doesn't he have a good heart?",joy,positive
"Oh, I know...",joy,positive
"Oh, I know and he's soo sweet! Listen, he said he was going to call, so put him straight through.",joy,positive
Isn't this great?!,joy,positive
Don't spoil it.,neutral,neutral
Hi.,neutral,neutral
"Hi, sweetie!",joy,positive
Hello.,neutral,neutral
"Hi, Ross.",neutral,neutral
"Yeah, huh.",neutral,neutral
I?ve got some bad news.,sadness,negative
What?,fear,negative
"I can get a quick bite to eat, but then I have to come back up here.",neutral,neutral
"Come on sweetie! You?ve had to work late every night for the past two weeks, what is it this time?",sadness,negative
"But work comes first!  Oh hey, but that?s sad about you though, what happened? Burn out? Burn all out, did ya?",joy,positive
"Nooo, he?s leaving for a better job.",neutral,neutral
"Oh well that?s great, so I guess this is ah, this is good bye then. Huh?  Good bye.",joy,positive
"Okay, then.",neutral,neutral
Okay.,neutral,neutral
Well we?re gonna miss you around here.,sadness,negative
"Yeah, me too.",sadness,negative
"So, see ya on Saturday.",neutral,neutral
"Yeah, you bet.",neutral,neutral
Whazzup??,neutral,neutral
"Seriously dude, 3 years ago.",joy,positive
"Listen, can you do me a favor?",neutral,neutral
I'm gonna be out today.,neutral,neutral
"Can you    just keep an eye on Joey, make sure nothing happens between him and Molly?",neutral,neutral
You don't trust him?,surprise,positive
I think the check in is that way.,neutral,neutral
Ahh.,neutral,neutral
"Monica face it, Chandler is against marriage. And-and always will be!",neutral,neutral
Well there's some people who do want to marry me.,anger,negative
There are?,surprise,positive
Yeah! Richard!,anger,negative
R-R-Richard said he wants to marry you?!  And-and Chandler's tellin' ya how much he hates marriage?!,surprise,negative
That's right.,neutral,neutral
Chandler,neutral,neutral
You just told me that he hates marriage!,surprise,negative
That-that he's a-a complex fellow who's unlikely to take a wife!,anger,negative
That-that he's against marriage and always will be!,anger,negative
You got,neutral,neutral
"You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",fear,negative
I knew.,neutral,neutral
You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,surprise,positive
I did.,neutral,neutral
Oh.,sadness,negative
"Listen, do you think- and try not to let my intense vulnerability become any kind of a factor herebut do you think it would be okay if I asked you out?",fear,negative
Sometime?,neutral,neutral
Maybe?,neutral,neutral
"Yeah, maybe...",joy,positive
"Okay... okay, maybe I will...",joy,positive
"Well, I just thought it'd make me feel good to do something nice for my friend.",neutral,neutral
"Well, you're amazing.",joy,positive
Oh no-no-no.,neutral,neutral
"A TV as if it appears from nowhere! That's the dream! Man, how did you afford this stuff?",surprise,positive
"Well, y'know I'm 29. I mean who needs a savings account.",neutral,neutral
"Oh, you are the best friends anyone has ever had.",joy,positive
"Oh, I don't know.",fear,negative
"Oh-no-no-no, you are!",joy,positive
"You do this, you give me the great advice, and hey listen, I was thinking about what you said yesterday about focusing on one woman, I'm gonna do that.",joy,positive
You mean with Casey.,neutral,neutral
"No-no-no, I think I'm gonna see how things go with Kathy. She's pretty cool.",neutral,neutral
Or Casey.,neutral,neutral
"No-no, Kathy.",neutral,neutral
Could be Casey.,neutral,neutral
"No. No, Kathy.",neutral,neutral
Consider Casey.,neutral,neutral
I think somebody's got a little crush on Casey.,joy,positive
How bout I fix you two up?,joy,positive
What do you think?,joy,positive
That all the pieces of my life are falling right into place!,joy,positive
"Hey, anybody got a length of rope about six feet long with a little nouse at the end?",neutral,neutral
"Honey, what's the matter?",neutral,neutral
I just saw Janice.,neutral,neutral
"Cause every time I see your face, I can't help but fall from grace. I know.....",joy,positive
Wow! This girl is good.,surprise,positive
"Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before.",anger,negative
I like her.,neutral,neutral
Why? Because she can sing and play guitar and do both at the same time?,neutral,neutral
"Well, that's pretty much all I'm looking for from these people.",neutral,neutral
Look at you. All jealous.,anger,negative
"Yeah Pheebs, come on, you two have completely different styles. Y'know, she's more.. y'know, and you're more",neutral,neutral
Say you'll stay beside me,sadness,negative
"Okay, see, see, everyone else is happy she's done.",anger,negative
"Okay, my next song's called: Phoebe Buffay, What Can I Say.",neutral,neutral
"I Really Loved When We Were Singing Partners, And I Shouldn't Have Left You That Way.",neutral,neutral
"Oh no, one of those look for the hidden meaning' songs.",neutral,neutral
"Yes, hello.",neutral,neutral
I have a question.,neutral,neutral
"Umm, I used your pen to draw on my friend's face.",neutral,neutral
A beard and a moustache.,neutral,neutral
Thank you.,neutral,neutral
"No,",neutral,neutral
What?! What else did he say?,surprise,negative
"Umm, he said he thought I was funny.",neutral,neutral
"So Okay, look-look umm, let's just go downstairs, we'll have some fun, and you will forget all about it.",neutral,neutral
"Ross, no! There is",anger,negative
"Oh, come on! Rach, it's-it's not that bad.",neutral,neutral
"Ross, I am a human doodle!!",anger,negative
"Look, just because some idiot drew on your face doesn't mean you shouldn't have any fun!",neutral,neutral
"And besides, hey-hey-hey no one is even gonna",neutral,neutral
"Okay, there was",neutral,neutral
Come on!,joy,positive
"Oh wait, don't you have to pay for your,  Busty Ladies?",joy,positive
"No, it's okay. Some-some kid asked me to pick it up for him, but I don't",neutral,neutral
Oh my God!!! What are you doing?!!,surprise,negative
"You said, you wanna come in for some lemonade?",neutral,neutral
So?!,disgust,negative
"Whoa, ah!! We're you just gonna give me some lemonade?",surprise,negative
Yeah huh!! Cover yourself up!,disgust,negative
"Oh right, right.",neutral,neutral
"I don't believe this! When someone asks you in for lemonade, and to you that means they wanna have sex?",disgust,negative
Well usually...yeah!,surprise,positive
"Well, not just lemonade, iced tea, sometimes juice.",neutral,neutral
"Well, sorry, I just, I thought you liked me.",neutral,neutral
I'm such a jerk.,sadness,negative
"It's okay. I suppose it could happen to anyone, not anyone I know, but... By the way I can still see it.",neutral,neutral
Hmmm... this is so nice.,joy,positive
"OK, I have a question. Well, actually, it's not so much a question as.. more of a general wondering... ment.",neutral,neutral
OK.,neutral,neutral
"OK. Here goes. For a while now, I've been wanting to, um....",neutral,neutral
Ohhh!!!!,surprise,positive
"Yes, yes, that's right...",neutral,neutral
"Oh, look at the little cat!",surprise,positive
What?  Ow!,surprise,negative
"Well, I was probably going to do it at some point.",neutral,neutral
I didn't mean,neutral,neutral
It's brilliant!,joy,positive
"Goodbye Mike, we'll see you at the wedding, fella!",joy,positive
"well, we probably won't invite you to the wedding...",neutral,neutral
"Thank you, Chandler.",neutral,neutral
Sincerely.,neutral,neutral
"Well, you're welcome! Glad I could help.",joy,positive
"David, I'm pretending to",neutral,neutral
"Okay, you have 19 questions left. Use them wisely.  Come on Joey! You can't win if you don't ask any",joy,positive
What?!,surprise,negative
"Well, you promised me a fun road trip!",joy,positive
We've been on the road six hours and you've been asleep for five and a half!,anger,negative
We are switching at the next rest stop and,anger,negative
All right. All right.,neutral,neutral
Yeah! And until then you are going to sing to me because the radio's broken and you are selfish but have a nice voice.,anger,negative
Really? I don't,surprise,negative
Sing!!,anger,negative
Morning!,joy,positive
Everything was delicious!,joy,positive
Thank you!,joy,positive
It was. The duck in particular was superb.,joy,positive
Thank you!    You haven't said anything...,joy,positive
Actually I do have one small complaint.,neutral,neutral
Oh..please!I-I welcome criticism.,neutral,neutral
The musician right outside the restaurant...it's kind    of a mood-killer!,sadness,negative
What musician?,surprise,positive
We did?,neutral,neutral
You owe me 20 bucks.,joy,positive
Thank you. Thank you so much!,joy,positive
"Chandler, here you go, got your traditional Thanksgiving feast, you got your tomato soup, your grilled cheese fixin's, and your family size bag of Funyuns.",neutral,neutral
"Wait, wait, Chandler, this is what you're havin' for Thanksgiving dinner?",surprise,negative
"What, what, what is it with you and this holiday?",anger,negative
"All right, I'm nine years old.",neutral,neutral
"Oh, I hate this story.",sadness,negative
We just finished this magnificent Thanksgiving dinner.,neutral,neutral
"I have--and I remember this part vividly--a mouthful of pumpkin pie, and this is the moment my parents choose to tell me they're getting divorced.",sadness,negative
Oh my god.,surprise,negative
Yes. It's very difficult to appreciate a Thanksgiving dinner once you've seen it in reverse.,sadness,negative
"Hey, who's this little naked guy?",surprise,positive
That little naked guy would be me.,neutral,neutral
"Aww, look at the little thing.",surprise,positive
Who are those people?,surprise,positive
Got me.,surprise,positive
"Oh, that's Nana, right there in the middle.  'Me and the gang at Java Joe's'.",neutral,neutral
"Wow, Monica, you look just like your grandmother. How old was she there?",surprise,positive
"Let's see, 1939... yeah, 24, 25?",neutral,neutral
Looks like a fun gang.,neutral,neutral
"Ooh, look-look-look-look-look! I got Monica naked!",joy,positive
"So, what's this about?",joy,positive
"Rachel has something that she wants to tell you and umm, I believe that this is your red sweater.",neutral,neutral
No.  This is my red sweater.,neutral,neutral
Oh no. Could I get anyone a coffee orpoison? No? Just for me? Okay.,fear,negative
What's going on Rach?,joy,positive
"Nothing! Phoebe kinda made a mistake. But y'know you do wear that sweater a lot, are you involved in some kind of dare?",fear,negative
"Y'know, I'm actually glad Phoebe called.",joy,positive
"I know we broke up because you thought I wasn't mature enough, but I've really grown up and think we should get back together.",joy,positive
"Oh, it's just not the right time.",sadness,negative
It is the right time.,joy,positive
Okay.,neutral,neutral
Kay!,joy,positive
in the category of Favorite Returning Male Character the nominees are: John Wheeler from,neutral,neutral
What the?!,surprise,negative
Yeah.,neutral,neutral
"You're an Aquarius, huh?",neutral,neutral
